# Species	Genes	Alg.-Conn.	AnophelesalbimanusSTECLA.faa	AnophelesatroparvusEBRO.faa	AnophelesfunestusFUMOZ.faa	AnophelesgambiaePEST.faa
4	8	0.404	AnophelesalbimanusSTECLA|AALB004007,AnophelesalbimanusSTECLA|AALB004562	AnophelesatroparvusEBRO|AATE008647	AnophelesfunestusFUMOZ|AFUN006955	AnophelesgambiaePEST|AGAP005023,AnophelesgambiaePEST|AGAP005026,AnophelesgambiaePEST|AGAP003909,AnophelesgambiaePEST|AGAP010724
4	8	0.375	AnophelesalbimanusSTECLA|AALB015561,AnophelesalbimanusSTECLA|AALB015560	AnophelesatroparvusEBRO|AATE002297	AnophelesfunestusFUMOZ|AFUN019478,AnophelesfunestusFUMOZ|AFUN019523,AnophelesfunestusFUMOZ|AFUN019672,AnophelesfunestusFUMOZ|AFUN019218	AnophelesgambiaePEST|AGAP001443
4	8	0.241	AnophelesalbimanusSTECLA|AALB010020,AnophelesalbimanusSTECLA|AALB010019	AnophelesatroparvusEBRO|AATE014567	AnophelesfunestusFUMOZ|AFUN009351,AnophelesfunestusFUMOZ|AFUN019130,AnophelesfunestusFUMOZ|AFUN003193	AnophelesgambiaePEST|AGAP012106,AnophelesgambiaePEST|AGAP029205
4	8	0.132	AnophelesalbimanusSTECLA|AALB004447	AnophelesatroparvusEBRO|AATE013490	AnophelesfunestusFUMOZ|AFUN004788,AnophelesfunestusFUMOZ|AFUN016646,AnophelesfunestusFUMOZ|AFUN016676	AnophelesgambiaePEST|AGAP005911,AnophelesgambiaePEST|AGAP005912,AnophelesgambiaePEST|AGAP005913
4	8	0.13	AnophelesalbimanusSTECLA|AALB010437	AnophelesatroparvusEBRO|AATE003597	AnophelesfunestusFUMOZ|AFUN015868,AnophelesfunestusFUMOZ|AFUN018864,AnophelesfunestusFUMOZ|AFUN015872,AnophelesfunestusFUMOZ|AFUN015869	AnophelesgambiaePEST|AGAP029730,AnophelesgambiaePEST|AGAP029727
4	8	0.125	AnophelesalbimanusSTECLA|AALB008462	AnophelesatroparvusEBRO|AATE005929	AnophelesfunestusFUMOZ|AFUN015721,AnophelesfunestusFUMOZ|AFUN002481	AnophelesgambiaePEST|AGAP004354,AnophelesgambiaePEST|AGAP004356,AnophelesgambiaePEST|AGAP004357,AnophelesgambiaePEST|AGAP004355
4	8	0.117	AnophelesalbimanusSTECLA|AALB005979,AnophelesalbimanusSTECLA|AALB017802	AnophelesatroparvusEBRO|AATE015027,AnophelesatroparvusEBRO|AATE002158	AnophelesfunestusFUMOZ|AFUN002084,AnophelesfunestusFUMOZ|AFUN002426	AnophelesgambiaePEST|AGAP007406,AnophelesgambiaePEST|AGAP003541
4	8	0.116	AnophelesalbimanusSTECLA|AALB004099,AnophelesalbimanusSTECLA|AALB004098,AnophelesalbimanusSTECLA|AALB009363	AnophelesatroparvusEBRO|AATE010947	AnophelesfunestusFUMOZ|AFUN019139,AnophelesfunestusFUMOZ|AFUN019141	AnophelesgambiaePEST|AGAP001212,AnophelesgambiaePEST|AGAP006342
4	8	0.11	AnophelesalbimanusSTECLA|AALB010816	AnophelesatroparvusEBRO|AATE018171,AnophelesatroparvusEBRO|AATE006095	AnophelesfunestusFUMOZ|AFUN004150,AnophelesfunestusFUMOZ|AFUN022119	AnophelesgambiaePEST|AGAP011066,AnophelesgambiaePEST|AGAP011068,AnophelesgambiaePEST|AGAP011051
4	7	0.468	AnophelesalbimanusSTECLA|AALB007076,AnophelesalbimanusSTECLA|AALB007073	AnophelesatroparvusEBRO|AATE004463	AnophelesfunestusFUMOZ|AFUN008651	AnophelesgambiaePEST|AGAP012199,AnophelesgambiaePEST|AGAP012201,AnophelesgambiaePEST|AGAP012202
4	7	0.429	AnophelesalbimanusSTECLA|AALB004699	AnophelesatroparvusEBRO|AATE014990,AnophelesatroparvusEBRO|AATE017387	AnophelesfunestusFUMOZ|AFUN006446,AnophelesfunestusFUMOZ|AFUN019083,AnophelesfunestusFUMOZ|AFUN019847	AnophelesgambiaePEST|AGAP006958
4	7	0.429	AnophelesalbimanusSTECLA|AALB006074	AnophelesatroparvusEBRO|AATE017918,AnophelesatroparvusEBRO|AATE020213	AnophelesfunestusFUMOZ|AFUN008445,AnophelesfunestusFUMOZ|AFUN008444	AnophelesgambiaePEST|AGAP005453,AnophelesgambiaePEST|AGAP005454
4	7	0.429	AnophelesalbimanusSTECLA|AALB008970,AnophelesalbimanusSTECLA|AALB006563	AnophelesatroparvusEBRO|AATE016830	AnophelesfunestusFUMOZ|AFUN006816,AnophelesfunestusFUMOZ|AFUN021394	AnophelesgambiaePEST|AGAP002346,AnophelesgambiaePEST|AGAP000655
4	7	0.318	AnophelesalbimanusSTECLA|AALB006363	AnophelesatroparvusEBRO|AATE001017,AnophelesatroparvusEBRO|AATE018218	AnophelesfunestusFUMOZ|AFUN006235,AnophelesfunestusFUMOZ|AFUN006374	AnophelesgambiaePEST|AGAP006891,AnophelesgambiaePEST|AGAP000794
4	7	0.286	AnophelesalbimanusSTECLA|AALB016107	AnophelesatroparvusEBRO|AATE012642	AnophelesfunestusFUMOZ|AFUN019574,AnophelesfunestusFUMOZ|AFUN019577,AnophelesfunestusFUMOZ|AFUN019459	AnophelesgambiaePEST|AGAP008630,AnophelesgambiaePEST|AGAP028029
4	7	0.225	AnophelesalbimanusSTECLA|AALB016645	AnophelesatroparvusEBRO|AATE010840,AnophelesatroparvusEBRO|AATE007218,AnophelesatroparvusEBRO|AATE015827	AnophelesfunestusFUMOZ|AFUN021869	AnophelesgambiaePEST|AGAP002767,AnophelesgambiaePEST|AGAP002766
4	7	0.193	AnophelesalbimanusSTECLA|AALB001294	AnophelesatroparvusEBRO|AATE005073,AnophelesatroparvusEBRO|AATE005628	AnophelesfunestusFUMOZ|AFUN016578,AnophelesfunestusFUMOZ|AFUN016579	AnophelesgambiaePEST|AGAP009214,AnophelesgambiaePEST|AGAP009220
4	7	0.19	AnophelesalbimanusSTECLA|AALB004669	AnophelesatroparvusEBRO|AATE012846,AnophelesatroparvusEBRO|AATE000458	AnophelesfunestusFUMOZ|AFUN019845	AnophelesgambiaePEST|AGAP007029,AnophelesgambiaePEST|AGAP006222,AnophelesgambiaePEST|AGAP006223
4	7	0.186	AnophelesalbimanusSTECLA|AALB008100	AnophelesatroparvusEBRO|AATE006978,AnophelesatroparvusEBRO|AATE011652	AnophelesfunestusFUMOZ|AFUN001688,AnophelesfunestusFUMOZ|AFUN001687	AnophelesgambiaePEST|AGAP002045,AnophelesgambiaePEST|AGAP002046
4	7	0.162	AnophelesalbimanusSTECLA|AALB004058	AnophelesatroparvusEBRO|AATE001311	AnophelesfunestusFUMOZ|AFUN007152,AnophelesfunestusFUMOZ|AFUN010346	AnophelesgambiaePEST|AGAP013152,AnophelesgambiaePEST|AGAP000706,AnophelesgambiaePEST|AGAP013372
4	7	0.143	AnophelesalbimanusSTECLA|AALB004858	AnophelesatroparvusEBRO|AATE004880,AnophelesatroparvusEBRO|AATE012076	AnophelesfunestusFUMOZ|AFUN021796,AnophelesfunestusFUMOZ|AFUN021795	AnophelesgambiaePEST|AGAP004832,AnophelesgambiaePEST|AGAP007061
4	7	0.136	AnophelesalbimanusSTECLA|AALB017553,AnophelesalbimanusSTECLA|AALB017557	AnophelesatroparvusEBRO|AATE004993,AnophelesatroparvusEBRO|AATE002773	AnophelesfunestusFUMOZ|AFUN021902	AnophelesgambiaePEST|AGAP002847,AnophelesgambiaePEST|AGAP013388
4	7	0.125	AnophelesalbimanusSTECLA|AALB003094,AnophelesalbimanusSTECLA|AALB000714	AnophelesatroparvusEBRO|AATE017094,AnophelesatroparvusEBRO|AATE017217	AnophelesfunestusFUMOZ|AFUN019680,AnophelesfunestusFUMOZ|AFUN021369	AnophelesgambiaePEST|AGAP002596
4	7	0.123	AnophelesalbimanusSTECLA|AALB005680,AnophelesalbimanusSTECLA|AALB006809	AnophelesatroparvusEBRO|AATE019817,AnophelesatroparvusEBRO|AATE003683	AnophelesfunestusFUMOZ|AFUN020132	AnophelesgambiaePEST|AGAP006668,AnophelesgambiaePEST|AGAP000399
4	7	0.12	AnophelesalbimanusSTECLA|AALB002761	AnophelesatroparvusEBRO|AATE010510	AnophelesfunestusFUMOZ|AFUN021175,AnophelesfunestusFUMOZ|AFUN021176	AnophelesgambiaePEST|AGAP013393,AnophelesgambiaePEST|AGAP013188,AnophelesgambiaePEST|AGAP013255
4	7	0.118	AnophelesalbimanusSTECLA|AALB007396	AnophelesatroparvusEBRO|AATE005411,AnophelesatroparvusEBRO|AATE010266	AnophelesfunestusFUMOZ|AFUN022278,AnophelesfunestusFUMOZ|AFUN003844	AnophelesgambiaePEST|AGAP011315,AnophelesgambiaePEST|AGAP013161
4	7	0.111	AnophelesalbimanusSTECLA|AALB010679,AnophelesalbimanusSTECLA|AALB010560	AnophelesatroparvusEBRO|AATE015264,AnophelesatroparvusEBRO|AATE016240	AnophelesfunestusFUMOZ|AFUN020255	AnophelesgambiaePEST|AGAP011194,AnophelesgambiaePEST|AGAP011195
4	7	0.109	AnophelesalbimanusSTECLA|AALB006177	AnophelesatroparvusEBRO|AATE004589,AnophelesatroparvusEBRO|AATE016748	AnophelesfunestusFUMOZ|AFUN009506,AnophelesfunestusFUMOZ|AFUN002811	AnophelesgambiaePEST|AGAP013757,AnophelesgambiaePEST|AGAP006749
4	7	0.108	AnophelesalbimanusSTECLA|AALB005771	AnophelesatroparvusEBRO|AATE003560,AnophelesatroparvusEBRO|AATE019384	AnophelesfunestusFUMOZ|AFUN004589,AnophelesfunestusFUMOZ|AFUN021044	AnophelesgambiaePEST|AGAP005980,AnophelesgambiaePEST|AGAP007572
4	7	0.108	AnophelesalbimanusSTECLA|AALB007032	AnophelesatroparvusEBRO|AATE004897,AnophelesatroparvusEBRO|AATE007288	AnophelesfunestusFUMOZ|AFUN022061,AnophelesfunestusFUMOZ|AFUN022057	AnophelesgambiaePEST|AGAP011184,AnophelesgambiaePEST|AGAP011182
4	7	0.106	AnophelesalbimanusSTECLA|AALB010596	AnophelesatroparvusEBRO|AATE007803	AnophelesfunestusFUMOZ|AFUN000258,AnophelesfunestusFUMOZ|AFUN009724	AnophelesgambiaePEST|AGAP007255,AnophelesgambiaePEST|AGAP007266,AnophelesgambiaePEST|AGAP000253
4	7	0.104	AnophelesalbimanusSTECLA|AALB005906,AnophelesalbimanusSTECLA|AALB006538	AnophelesatroparvusEBRO|AATE010589	AnophelesfunestusFUMOZ|AFUN010848,AnophelesfunestusFUMOZ|AFUN006688	AnophelesgambiaePEST|AGAP005336,AnophelesgambiaePEST|AGAP000923
4	6	0.667	AnophelesalbimanusSTECLA|AALB002641	AnophelesatroparvusEBRO|AATE005977,AnophelesatroparvusEBRO|AATE001764,AnophelesatroparvusEBRO|AATE020523	AnophelesfunestusFUMOZ|AFUN003521	AnophelesgambiaePEST|AGAP004017
4	6	0.667	AnophelesalbimanusSTECLA|AALB005882,AnophelesalbimanusSTECLA|AALB007773	AnophelesatroparvusEBRO|AATE000573,AnophelesatroparvusEBRO|AATE006610	AnophelesfunestusFUMOZ|AFUN000708	AnophelesgambiaePEST|AGAP000719
4	6	0.617	AnophelesalbimanusSTECLA|AALB005269	AnophelesatroparvusEBRO|AATE018027,AnophelesatroparvusEBRO|AATE015529	AnophelesfunestusFUMOZ|AFUN021580	AnophelesgambiaePEST|AGAP009572,AnophelesgambiaePEST|AGAP000541
4	6	0.617	AnophelesalbimanusSTECLA|AALB008735	AnophelesatroparvusEBRO|AATE008474,AnophelesatroparvusEBRO|AATE002037	AnophelesfunestusFUMOZ|AFUN000624	AnophelesgambiaePEST|AGAP003171,AnophelesgambiaePEST|AGAP003173
4	6	0.556	AnophelesalbimanusSTECLA|AALB015691,AnophelesalbimanusSTECLA|AALB015687	AnophelesatroparvusEBRO|AATE009664	AnophelesfunestusFUMOZ|AFUN015753	AnophelesgambiaePEST|AGAP003911,AnophelesgambiaePEST|AGAP003913
4	6	0.534	AnophelesalbimanusSTECLA|AALB008056,AnophelesalbimanusSTECLA|AALB002942	AnophelesatroparvusEBRO|AATE007646	AnophelesfunestusFUMOZ|AFUN003913	AnophelesgambiaePEST|AGAP001766,AnophelesgambiaePEST|AGAP001769
4	6	0.5	AnophelesalbimanusSTECLA|AALB015779	AnophelesatroparvusEBRO|AATE008773,AnophelesatroparvusEBRO|AATE020520	AnophelesfunestusFUMOZ|AFUN019221,AnophelesfunestusFUMOZ|AFUN019188	AnophelesgambiaePEST|AGAP008579
4	6	0.333	AnophelesalbimanusSTECLA|AALB002015	AnophelesatroparvusEBRO|AATE010089	AnophelesfunestusFUMOZ|AFUN006251,AnophelesfunestusFUMOZ|AFUN000772	AnophelesgambiaePEST|AGAP002395,AnophelesgambiaePEST|AGAP000953
4	6	0.333	AnophelesalbimanusSTECLA|AALB003294	AnophelesatroparvusEBRO|AATE002042	AnophelesfunestusFUMOZ|AFUN018497,AnophelesfunestusFUMOZ|AFUN004144,AnophelesfunestusFUMOZ|AFUN004143	AnophelesgambiaePEST|AGAP011076
4	6	0.333	AnophelesalbimanusSTECLA|AALB006233	AnophelesatroparvusEBRO|AATE013142	AnophelesfunestusFUMOZ|AFUN003358,AnophelesfunestusFUMOZ|AFUN021310	AnophelesgambiaePEST|AGAP007557,AnophelesgambiaePEST|AGAP007558
4	6	0.333	AnophelesalbimanusSTECLA|AALB007277	AnophelesatroparvusEBRO|AATE016112	AnophelesfunestusFUMOZ|AFUN019490,AnophelesfunestusFUMOZ|AFUN011295,AnophelesfunestusFUMOZ|AFUN019503	AnophelesgambiaePEST|AGAP003139
4	6	0.333	AnophelesalbimanusSTECLA|AALB007439	AnophelesatroparvusEBRO|AATE011876	AnophelesfunestusFUMOZ|AFUN018691,AnophelesfunestusFUMOZ|AFUN008693,AnophelesfunestusFUMOZ|AFUN005624	AnophelesgambiaePEST|AGAP011535
4	6	0.333	AnophelesalbimanusSTECLA|AALB007889	AnophelesatroparvusEBRO|AATE005641	AnophelesfunestusFUMOZ|AFUN019461,AnophelesfunestusFUMOZ|AFUN019661,AnophelesfunestusFUMOZ|AFUN019580	AnophelesgambiaePEST|AGAP006187
4	6	0.333	AnophelesalbimanusSTECLA|AALB008352	AnophelesatroparvusEBRO|AATE007000	AnophelesfunestusFUMOZ|AFUN019361,AnophelesfunestusFUMOZ|AFUN019422	AnophelesgambiaePEST|AGAP013189,AnophelesgambiaePEST|AGAP013400
4	6	0.333	AnophelesalbimanusSTECLA|AALB010014	AnophelesatroparvusEBRO|AATE003769	AnophelesfunestusFUMOZ|AFUN018609,AnophelesfunestusFUMOZ|AFUN019036,AnophelesfunestusFUMOZ|AFUN003198	AnophelesgambiaePEST|AGAP012100
4	6	0.333	AnophelesalbimanusSTECLA|AALB010416	AnophelesatroparvusEBRO|AATE001401	AnophelesfunestusFUMOZ|AFUN018782,AnophelesfunestusFUMOZ|AFUN002247	AnophelesgambiaePEST|AGAP010612,AnophelesgambiaePEST|AGAP010613
4	6	0.333	AnophelesalbimanusSTECLA|AALB016585	AnophelesatroparvusEBRO|AATE008212	AnophelesfunestusFUMOZ|AFUN018548,AnophelesfunestusFUMOZ|AFUN018605	AnophelesgambiaePEST|AGAP004962,AnophelesgambiaePEST|AGAP004963
4	6	0.333	AnophelesalbimanusSTECLA|AALB017461	AnophelesatroparvusEBRO|AATE013790	AnophelesfunestusFUMOZ|AFUN018668,AnophelesfunestusFUMOZ|AFUN018799	AnophelesgambiaePEST|AGAP012394,AnophelesgambiaePEST|AGAP012395
4	6	0.333	AnophelesalbimanusSTECLA|AALB017749	AnophelesatroparvusEBRO|AATE018378	AnophelesfunestusFUMOZ|AFUN019347,AnophelesfunestusFUMOZ|AFUN019799,AnophelesfunestusFUMOZ|AFUN019414	AnophelesgambiaePEST|AGAP013186
4	6	0.316	AnophelesalbimanusSTECLA|AALB002050	AnophelesatroparvusEBRO|AATE002989	AnophelesfunestusFUMOZ|AFUN000230,AnophelesfunestusFUMOZ|AFUN006088	AnophelesgambiaePEST|AGAP001701,AnophelesgambiaePEST|AGAP000852
4	6	0.297	AnophelesalbimanusSTECLA|AALB017722	AnophelesatroparvusEBRO|AATE009302	AnophelesfunestusFUMOZ|AFUN021160,AnophelesfunestusFUMOZ|AFUN018578	AnophelesgambiaePEST|AGAP010604,AnophelesgambiaePEST|AGAP010602
4	6	0.233	AnophelesalbimanusSTECLA|AALB017307,AnophelesalbimanusSTECLA|AALB017305	AnophelesatroparvusEBRO|AATE002739,AnophelesatroparvusEBRO|AATE020552	AnophelesfunestusFUMOZ|AFUN020228	AnophelesgambiaePEST|AGAP001707
4	6	0.232	AnophelesalbimanusSTECLA|AALB009527	AnophelesatroparvusEBRO|AATE016448,AnophelesatroparvusEBRO|AATE019623	AnophelesfunestusFUMOZ|AFUN006195	AnophelesgambiaePEST|AGAP003233,AnophelesgambiaePEST|AGAP013304
4	6	0.227	AnophelesalbimanusSTECLA|AALB010810	AnophelesatroparvusEBRO|AATE009202,AnophelesatroparvusEBRO|AATE003667	AnophelesfunestusFUMOZ|AFUN022223	AnophelesgambiaePEST|AGAP029764,AnophelesgambiaePEST|AGAP029763
4	6	0.225	AnophelesalbimanusSTECLA|AALB001855	AnophelesatroparvusEBRO|AATE006940,AnophelesatroparvusEBRO|AATE011422	AnophelesfunestusFUMOZ|AFUN009877	AnophelesgambiaePEST|AGAP002894,AnophelesgambiaePEST|AGAP008219
4	6	0.212	AnophelesalbimanusSTECLA|AALB006136	AnophelesatroparvusEBRO|AATE011498,AnophelesatroparvusEBRO|AATE011322	AnophelesfunestusFUMOZ|AFUN021448	AnophelesgambiaePEST|AGAP006182,AnophelesgambiaePEST|AGAP006181
4	6	0.208	AnophelesalbimanusSTECLA|AALB002581	AnophelesatroparvusEBRO|AATE010641	AnophelesfunestusFUMOZ|AFUN021417,AnophelesfunestusFUMOZ|AFUN021418	AnophelesgambiaePEST|AGAP003354,AnophelesgambiaePEST|AGAP013192
4	6	0.208	AnophelesalbimanusSTECLA|AALB015455	AnophelesatroparvusEBRO|AATE010267	AnophelesfunestusFUMOZ|AFUN015919,AnophelesfunestusFUMOZ|AFUN015918	AnophelesgambiaePEST|AGAP008217,AnophelesgambiaePEST|AGAP008218
4	6	0.206	AnophelesalbimanusSTECLA|AALB004988	AnophelesatroparvusEBRO|AATE018629,AnophelesatroparvusEBRO|AATE006004	AnophelesfunestusFUMOZ|AFUN018796	AnophelesgambiaePEST|AGAP028439,AnophelesgambiaePEST|AGAP004918
4	6	0.206	AnophelesalbimanusSTECLA|AALB017440	AnophelesatroparvusEBRO|AATE011604	AnophelesfunestusFUMOZ|AFUN016254	AnophelesgambiaePEST|AGAP011951,AnophelesgambiaePEST|AGAP004920,AnophelesgambiaePEST|AGAP011952
4	6	0.204	AnophelesalbimanusSTECLA|AALB003095	AnophelesatroparvusEBRO|AATE004246,AnophelesatroparvusEBRO|AATE009818	AnophelesfunestusFUMOZ|AFUN021343	AnophelesgambiaePEST|AGAP002595,AnophelesgambiaePEST|AGAP007871
4	6	0.204	AnophelesalbimanusSTECLA|AALB006077,AnophelesalbimanusSTECLA|AALB005857	AnophelesatroparvusEBRO|AATE005295	AnophelesfunestusFUMOZ|AFUN008441	AnophelesgambiaePEST|AGAP005457,AnophelesgambiaePEST|AGAP005458
4	6	0.204	AnophelesalbimanusSTECLA|AALB017472	AnophelesatroparvusEBRO|AATE015422,AnophelesatroparvusEBRO|AATE008687	AnophelesfunestusFUMOZ|AFUN021673	AnophelesgambiaePEST|AGAP028207,AnophelesgambiaePEST|AGAP010466
4	6	0.202	AnophelesalbimanusSTECLA|AALB001014	AnophelesatroparvusEBRO|AATE011126	AnophelesfunestusFUMOZ|AFUN016157	AnophelesgambiaePEST|AGAP027981,AnophelesgambiaePEST|AGAP028075,AnophelesgambiaePEST|AGAP008403
4	6	0.202	AnophelesalbimanusSTECLA|AALB009854,AnophelesalbimanusSTECLA|AALB009853	AnophelesatroparvusEBRO|AATE003043	AnophelesfunestusFUMOZ|AFUN015988	AnophelesgambiaePEST|AGAP010504,AnophelesgambiaePEST|AGAP010505
4	6	0.2	AnophelesalbimanusSTECLA|AALB004522	AnophelesatroparvusEBRO|AATE020896,AnophelesatroparvusEBRO|AATE004244	AnophelesfunestusFUMOZ|AFUN006738	AnophelesgambiaePEST|AGAP006407,AnophelesgambiaePEST|AGAP029153
4	6	0.187	AnophelesalbimanusSTECLA|AALB004291,AnophelesalbimanusSTECLA|AALB004290	AnophelesatroparvusEBRO|AATE010112,AnophelesatroparvusEBRO|AATE014754	AnophelesfunestusFUMOZ|AFUN020434	AnophelesgambiaePEST|AGAP006018
4	6	0.182	AnophelesalbimanusSTECLA|AALB006936	AnophelesatroparvusEBRO|AATE016722,AnophelesatroparvusEBRO|AATE012364	AnophelesfunestusFUMOZ|AFUN019086,AnophelesfunestusFUMOZ|AFUN005359	AnophelesgambiaePEST|AGAP012228
4	6	0.172	AnophelesalbimanusSTECLA|AALB017676	AnophelesatroparvusEBRO|AATE019379	AnophelesfunestusFUMOZ|AFUN021727,AnophelesfunestusFUMOZ|AFUN021728,AnophelesfunestusFUMOZ|AFUN021724	AnophelesgambiaePEST|AGAP010730
4	6	0.167	AnophelesalbimanusSTECLA|AALB000532	AnophelesatroparvusEBRO|AATE009839,AnophelesatroparvusEBRO|AATE015122	AnophelesfunestusFUMOZ|AFUN020411	AnophelesgambiaePEST|AGAP029641,AnophelesgambiaePEST|AGAP009683
4	6	0.167	AnophelesalbimanusSTECLA|AALB002039	AnophelesatroparvusEBRO|AATE012506	AnophelesfunestusFUMOZ|AFUN021362,AnophelesfunestusFUMOZ|AFUN020552	AnophelesgambiaePEST|AGAP008052,AnophelesgambiaePEST|AGAP008054
4	6	0.167	AnophelesalbimanusSTECLA|AALB003239	AnophelesatroparvusEBRO|AATE001236	AnophelesfunestusFUMOZ|AFUN004260	AnophelesgambiaePEST|AGAP029824,AnophelesgambiaePEST|AGAP028666,AnophelesgambiaePEST|AGAP029797
4	6	0.167	AnophelesalbimanusSTECLA|AALB005601	AnophelesatroparvusEBRO|AATE020075	AnophelesfunestusFUMOZ|AFUN009899,AnophelesfunestusFUMOZ|AFUN009900	AnophelesgambiaePEST|AGAP005069,AnophelesgambiaePEST|AGAP005068
4	6	0.167	AnophelesalbimanusSTECLA|AALB016233	AnophelesatroparvusEBRO|AATE009220	AnophelesfunestusFUMOZ|AFUN021980,AnophelesfunestusFUMOZ|AFUN021981,AnophelesfunestusFUMOZ|AFUN022195	AnophelesgambiaePEST|AGAP003960
