#Species	Gene_1	Ext_1	Gene_2	Ext_2	Weight
node1	OG6105199_203	h	OG6163098_539	t	0
node1	OG6136702_491	h	OG6183607_557	t	0
node1	OG6103166_103	t	OG6100878_22	t	0
node1	OG6315912_569	t	OG6105324_208	h	0
node1	OG6104188_152	h	OG6129350_460	t	0
node1	OG6105533_223	h	OG6107739_288	h	0
node1	OG6100626_15	t	OG6102242_70	h	0
node1	OG6100528_12	h	OG6124330_406	h	0
node1	OG6316334_577	t	OG6103812_124	t	0
node1	OG6100896_26	t	OG6101414_43	t	0
node1	OG6120819_379	t	OG6106472_252	t	0
node1	OG6104359_164	t	OG6101684_57	h	0
node1	OG6104535_177	t	OG6108692_316	h	0
node1	OG6122624_393	t	OG6102655_85	t	0
node1	OG6109207_323	h	OG6104013_135	h	0
node1	OG6105053_197	h	OG6114651_359	t	0
node1	OG6105971_238	t	OG6105199_203	t	0
node1	OG6183605_556	h	OG6100435_7	h	0
node1	OG6136806_496	t	OG6117820_370	t	0
node1	OG6109176_321	h	OG6102627_84	h	0
node1	OG6101944_64	h	OG6119325_376	h	0
node1	OG6104725_186	h	OG6120953_382	h	0
node1	OG6119485_377	t	OG6111120_343	h	0
node1	OG6129057_452	t	OG6100154_0	h	0
node1	OG6132655_469	h	OG6107420_279	h	0
node1	OG6126475_430	h	OG6107564_284	t	0
node1	OG6136764_494	t	OG6104802_189	t	0
node1	OG6103986_131	h	OG6108569_311	h	0
node1	OG6107244_274	h	OG6129000_449	h	0
node1	OG6110776_341	t	OG6107758_291	h	0
node1	OG6103101_101	h	OG6101414_43	h	0
node1	OG6105564_225	t	OG6105363_213	h	0
node1	OG6163540_546	t	OG6107190_273	t	0
node1	OG6103473_113	t	OG6106318_247	h	0
node1	OG6107078_271	t	OG6130015_462	t	0
node1	OG6124219_403	h	OG6126582_434	t	0
node1	OG6111864_346	t	OG6124468_416	h	0
node1	OG6150947_521	t	OG6132684_473	h	0
node1	OG6162667_531	t	OG6315797_567	h	0
node1	OG6101571_50	t	OG6129193_455	t	0
node1	OG6101502_49	t	OG6151102_524	h	0
node1	OG6105971_238	h	OG6142421_512	h	0
node1	OG6102999_98	t	OG6163186_540	t	0
node1	OG6112361_350	h	OG6108971_319	t	0
node1	OG6117759_368	h	OG6100923_27	t	0
node1	OG6104403_167	h	OG6116553_362	t	0
node1	OG6103663_120	t	OG6106742_263	h	0
node1	OG6106541_255	h	OG6104879_191	h	0
node1	OG6136756_493	t	OG6111483_345	t	0
node1	OG6101169_37	t	OG6126445_427	h	0
node1	OG6132719_476	t	OG6102019_65	h	0
node1	OG6126401_423	t	OG6105319_207	h	0
node1	OG6136811_497	h	OG6100262_4	h	0
node1	OG6105648_227	t	OG6105380_215	h	0
node1	OG6183365_555	h	OG6163747_549	t	0
node1	OG6124464_415	h	OG6104432_168	h	0
node1	OG6100894_24	h	OG6100894_23	t	0
node1	OG6151124_525	t	OG6120961_383	h	0
node1	OG6137881_498	h	OG6183605_556	t	0
node1	OG6104329_163	t	OG6126551_433	t	0
node1	OG6100445_9	t	OG6132482_465	h	0
node1	OG6150742_517	h	OG6104063_141	h	0
node1	OG6117865_373	t	OG6105431_217	t	0
node1	OG6104725_186	t	OG6102134_68	t	0
node1	OG6126529_432	t	OG6105324_208	t	0
node1	OG6103377_111	t	OG6108574_312	h	0
node1	OG6105044_196	t	OG6142078_505	t	0
node1	OG6162974_535	t	OG6142484_514	h	0
node1	OG6136756_493	h	OG6106917_266	t	0
node1	OG6142480_513	t	OG6141871_500	h	0
node1	OG6104017_136	h	OG6108589_315	h	0
node1	OG6106124_241	t	OG6103116_102	t	0
node1	OG6150742_517	t	OG6107516_280	h	0
node1	OG6107806_292	h	OG6100896_25	h	0
node1	OG6102986_97	h	OG6100391_6	h	0
node1	OG6114034_358	h	OG6129065_453	h	0
node1	OG6106237_244	t	OG6102617_80	t	0
node1	OG6104609_181	h	OG6104609_182	t	0
node1	OG6102235_69	h	OG6107540_283	t	0
node1	OG6104136_147	h	OG6104021_137	t	0
node1	OG6315947_570	h	OG6141943_504	h	0
node1	OG6105514_221	h	OG6104525_175	t	0
node1	OG6105219_204	h	OG6315872_568	t	0
node1	OG6126475_430	t	OG6105431_217	h	0
node1	OG6104562_179	t	OG6142381_511	t	0
node1	OG6106240_245	h	OG6104189_153	h	0
node1	OG6101891_61	t	OG6107727_287	t	0
node1	OG6105414_216	t	OG6120819_379	h	0
node1	OG6105219_204	t	OG6103598_117	t	0
node1	OG6101347_40	t	OG6101347_41	h	0
node1	OG6105629_226	t	OG6107046_270	t	0
node1	OG6136764_494	h	OG6126605_438	h	0
node1	OG6103504_115	h	OG6101502_49	h	0
node1	OG6104541_178	t	OG6100896_26	h	0
node1	OG6106474_253	t	OG6126602_436	t	0
node1	OG6163783_550	t	OG6103982_129	h	0
node1	OG6111930_347	h	OG6108585_313	t	0
node1	OG6122559_389	h	OG6122559_388	t	0
node1	OG6103986_130	t	OG6132704_474	h	0
node1	OG6106472_252	h	OG6142421_512	t	0
node1	OG6109218_325	t	OG6142273_507	h	0
node1	OG6315421_565	h	OG6162719_532	t	0
node1	OG6100435_7	t	OG6121038_384	h	0
node1	OG6104079_143	h	OG6105334_209	h	0
node1	OG6142321_509	h	OG6108781_318	h	0
node1	OG6100524_11	h	OG6104250_160	h	0
node1	OG6122583_392	t	OG6105997_239	t	0
node1	OG6162964_534	t	OG6105713_228	t	0
node1	OG6124185_401	h	OG6166633_553	t	0
node1	OG6104373_165	t	OG6107930_296	h	0
node1	OG6104715_185	t	OG6105165_201	h	0
node1	OG6129296_458	t	OG6104310_162	h	0
node1	OG6106710_262	t	OG6104190_154	t	0
node1	OG6104478_172	t	OG6142484_514	t	0
node1	OG6107978_301	t	OG6316316_575	t	0
node1	OG6108101_303	t	OG6109712_335	t	0
node1	OG6102655_85	h	OG6110740_339	h	0
node1	OG6107032_269	h	OG6129233_456	h	0
node1	OG6315912_569	h	OG6136523_482	h	0
node1	OG6151102_524	t	OG6111122_344	h	0
node1	OG6136537_484	t	OG6109443_330	h	0
node1	OG6104306_161	h	OG6316440_580	t	0
node1	OG6126587_435	h	OG6117846_372	h	0
node1	OG6151144_526	h	OG6106561_256	h	0
node1	OG6103915_126	h	OG6101257_39	t	0
node1	OG6101039_32	t	OG6100338_5	h	0
node1	OG6136534_483	t	OG6136563_486	h	0
node1	OG6104216_157	t	OG6107366_275	h	0
node1	OG6103915_126	t	OG6104359_164	h	0
node1	OG6150846_518	h	OG6101169_37	h	0
node1	OG6100653_17	h	OG6132723_477	h	0
node1	OG6136702_491	t	OG6126471_429	t	0
node1	OG6105865_234	t	OG6103652_119	h	0
node1	OG6114034_358	t	OG6r15102977_582	t	0
node1	OG6112259_348	t	OG6101045_33	t	0
node1	OG6126618_439	t	OG6132482_465	t	0
node1	OG6120953_382	t	OG6106904_265	t	0
node1	OG6110471_338	h	OG6126602_436	h	0
node1	OG6106476_254	t	OG6104017_136	t	0
node1	OG6106611_260	h	OG6104643_184	t	0
node1	OG6126529_432	h	OG6104147_149	h	0
node1	OG6100674_18	t	OG6105354_211	t	0
node1	OG6100894_23	h	OG6136685_488	h	0
node1	OG6100220_2	t	OG6105874_235	h	0
node1	OG6104030_139	h	OG6104215_156	t	0
node1	OG6119325_376	t	OG6111930_347	t	0
node1	OG6183803_558	h	OG6107739_288	t	0
node1	OG6120961_383	t	OG6106571_258	h	0
node1	OG6102656_86	t	OG6105759_232	t	0
node1	OG6132724_478	h	OG6122523_387	h	0
node1	OG6107516_280	t	OG6108295_308	t	0
node1	OG6101193_38	t	OG6101731_59	t	0
node1	OG6122582_391	t	OG6126471_429	h	0
node1	OG6117820_370	h	OG6117820_371	t	0
node1	OG6124338_407	h	OG6109487_331	t	0
node1	OG6100515_10	h	t_584	o	0
node1	OG6151341_529	h	OG6315972_572	h	0
node1	OG6101347_41	t	OG6108692_316	t	0
node1	OG6112323_349	t	OG6120926_381	h	0
node1	OG6126664_444	h	OG6137881_498	t	0
node1	OG6151237_527	t	OG6102627_83	t	0
node1	OG6128985_448	t	OG6102852_92	t	0
node1	OG6100986_30	h	OG6126460_428	t	0
node1	OG6126654_441	h	OG6126654_442	t	0
node1	OG6126551_433	h	OG6100262_4	t	0
node1	OG6120817_378	t	OG6183989_560	t	0
node1	OG6150675_515	t	OG6136691_489	h	0
node1	OG6100957_29	t	OG6128985_448	h	0
node1	OG6100782_21	t	OG6103877_125	h	0
node1	OG6163079_537	t	OG6106571_258	t	0
node1	OG6183306_554	t	OG6103806_123	t	0
node1	OG6104216_157	h	OG6105715_230	h	0
node1	OG6108569_311	t	OG6107955_298	t	0
node1	OG6108764_317	h	OG6106124_241	h	0
node1	OG6132709_475	t	OG6111046_342	h	0
node1	OG6104527_176	t	OG6109618_332	t	0
node1	OG6101731_59	h	OG6101731_58	h	0
node1	OG6101596_51	h	OG6103326_108	t	0
node1	OG6109275_329	h	OG6104788_188	h	0
node1	OG6104137_148	t	OG6101432_46	h	0
node1	OG6102942_95	h	OG6107969_299	t	0
node1	OG6104023_138	t	OG6102617_80	h	0
node1	OG6132656_470	h	OG6136685_488	t	0
node1	OG6105997_239	h	OG6107955_298	h	0
node1	OG6105304_206	t	OG6100524_11	t	0
node1	OG6104448_170	t	OG6316440_580	h	0
node1	OG6183943_559	h	OG6105064_198	t	0
node1	OG6104021_137	h	OG6122624_393	h	0
node1	OG6109246_328	t	OG6122518_386	h	0
node1	OG6109275_329	t	OG6132719_476	h	0
node1	OG6115555_361	t	OG6103598_117	h	0
node1	OG6107420_279	t	OG6104823_190	h	0
node1	OG6104215_156	h	OG6163797_551	t	0
node1	OG6126654_441	t	OG6122583_392	h	0
node1	OG6107399_277	h	OG6104643_184	h	0
node1	OG6107969_299	h	OG6132342_464	t	0
node1	OG6100445_8	t	OG6104188_152	t	0
node1	OG6124464_415	t	OG6124464_414	h	0
node1	OG6109902_336	t	OG6122518_386	t	0
node1	OG6102385_74	h	OG6132639_467	h	0
node1	OG6102621_81	t	OG6136417_480	h	0
node1	OG6126604_437	h	OG6105759_232	h	0
node1	OG6129233_456	t	OG6105363_213	t	0
node1	OG6136448_481	h	OG6107931_297	t	0
node1	OG6136375_479	h	OG6103992_132	t	0
node1	OG6187221_564	t	OG6103618_118	h	0
node1	OG6142327_510	t	OG6102384_73	h	0
node1	OG6105064_198	h	OG6136523_482	t	0
node1	OG6104432_168	t	OG6105234_205	h	0
node1	OG6104609_180	h	OG6128920_447	t	0
node1	OG6136417_480	t	OG6101604_53	t	0
node1	OG6187221_564	h	OG6124179_400	t	0
node1	OG6129118_454	t	OG6126445_427	t	0
node1	OG6126624_440	h	OG6142381_511	h	0
node1	OG6136691_489	t	OG6105450_219	h	0
node1	OG6105449_218	t	OG6100189_1	h	0
node1	OG6122692_397	t	OG6151243_528	h	0
node1	OG6103264_107	h	OG6104190_154	h	0
node1	OG6109218_325	h	OG6126439_426	h	0
node1	OG6117798_369	t	OG6109177_322	h	0
node1	OG6105533_223	t	OG6141871_500	t	0
node1	OG6151004_522	t	OG6106904_265	h	0
node1	OG6104887_192	h	OG6126624_440	t	0
node1	OG6163211_542	t	OG6163379_543	h	0
node1	OG6106364_248	t	OG6100220_3	t	0
node1	OG6104247_158	h	OG6163540_546	h	0
node1	OG6105169_202	h	OG6106249_246	t	0
node1	OG6102133_67	t	OG6101143_35	t	0
node1	OG6122637_394	t	OG6103480_114	h	0
node1	OG6110753_340	t	OG6103806_123	h	0
node1	OG6150892_519	t	OG6142078_505	h	0
node1	OG6104715_185	h	OG6101650_54	h	0
node1	OG6100651_16	h	OG6121038_384	t	0
node1	OG6103747_121	h	OG6122647_396	t	0
node1	OG6117934_375	t	OG6100731_20	t	0
node1	OG6106875_264	t	OG6104177_150	t	0
node1	OG6101673_56	h	OG6109213_324	t	0
node1	OG6163044_536	h	OG6126402_424	h	0
node1	OG6102427_77	h	OG6102427_76	t	0
node1	OG6105234_205	t	OG6103381_112	h	0
node1	OG6124423_411	t	OG6105083_199	h	0
node1	OG6151243_528	t	OG6136555_485	t	0
node1	OG6101571_50	h	OG6111122_344	t	0
node1	OG6105968_237	h	OG6104403_167	t	0
node1	OG6122692_397	h	OG6126269_418	t	0
node1	OG6103999_134	t	OG6126605_438	t	0
node1	OG6162719_532	h	OG6315797_567	t	0
node1	OG6105739_231	h	OG6107914_294	h	0
node1	OG6104478_172	h	OG6108585_313	h	0
node1	OG6102957_96	t	OG6106474_253	h	0
node1	OG6113402_357	t	OG6101766_60	h	0
node1	OG6104772_187	h	OG6103982_129	t	0
node1	OG6124339_408	t	OG6103480_114	t	0
node1	OG6120926_380	h	OG6117865_373	h	0
node1	OG6105713_228	h	OG6111046_342	t	0
node1	OG6124431_412	t	OG6142298_508	t	0
node1	OG6101156_36	t	OG6101413_42	t	0
node1	OG6105713_229	h	OG6119485_377	h	0
node1	OG6150740_516	t	OG6316299_574	t	0
node1	OG6108781_318	t	OG6103116_102	h	0
node1	OG6136537_484	h	OG6142480_513	h	0
node1	OG6104480_173	h	OG6107564_284	h	0
node1	OG6106364_248	h	OG6104177_150	h	0
node1	OG6315972_572	t	OG6104609_180	t	0
node1	OG6104093_144	h	OG6129350_460	h	0
node1	OG6100986_30	t	OG6103326_108	h	0
node1	OG6124421_410	h	OG6105968_237	t	0
node1	OG6106586_259	h	OG6108363_309	h	0
node1	OG6136765_495	t	OG6104013_135	t	0
node1	OG6102235_69	t	OG6126301_420	t	0
node1	OG6109902_336	h	OG6104460_171	h	0
node1	OG6102627_83	h	OG6102627_84	t	0
node1	OG6107190_273	h	OG6100731_20	h	0
node1	OG6100445_8	h	OG6183306_554	h	0
node1	OG6106435_250	h	OG6106132_242	t	0
node1	OG6184039_561	t	OG6128919_446	t	0
node1	OG6104887_192	t	OG6141938_502	h	0
node1	OG6102624_82	t	OG6106940_267	t	0
node1	OG6102757_88	h	OG6122578_390	h	0
node1	OG6102059_66	t	OG6102427_77	t	0
node1	OG6150947_521	h	OG6129298_459	t	0
node1	OG6105865_234	h	OG6103218_104	h	0
node1	OG6103473_113	h	OG6132709_475	h	0
node1	OG6151124_525	h	OG6106132_242	h	0
node1	OG6105713_229	t	OG6103034_99	t	0
node1	OG6101650_54	t	OG6104802_189	h	0
node1	OG6106742_263	t	OG6107716_286	h	0
node1	OG6107572_285	h	OG6107716_286	t	0
node1	OG6101673_56	t	OG6100391_6	t	0
node1	OG6103747_121	t	OG6316345_578	h	0
node1	OG6107742_290	t	OG6110740_339	t	0
node1	OG6107978_301	h	OG6102317_72	t	0
node1	OG6163379_543	t	OG6129193_455	h	0
node1	OG6163597_547	t	OG6132639_467	t	0
node1	OG6110776_341	h	OG6103812_124	h	0
node1	OG6103257_105	t	OG6105117_200	h	0
node1	OG6316406_579	t	OG6130014_461	t	0
node1	OG6103997_133	t	OG6104189_153	t	0
node1	OG6103166_103	h	OG6102019_65	t	0
node1	OG6102503_78	t	OG6104507_174	t	0
node1	OG6163098_539	h	OG6106107_240	h	0
node1	OG6106460_251	h	OG6102674_87	t	0
node1	OG6151074_523	t	OG6103618_118	t	0
node1	OG6122559_388	h	OG6126654_443	h	0
node1	OG6102830_90	t	OG6163447_545	h	0
node1	OG6122693_398	t	OG6100998_31	h	0
node1	OG6104979_194	h	t_583	o	0
node1	OG6107413_278	h	OG6108587_314	t	0
node1	OG6132683_472	h	OG6107758_291	t	0
node1	OG6105527_222	t	OG6183943_559	t	0
node1	OG6107975_300	h	OG6101045_33	h	0
node1	OG6104541_178	h	OG6100896_25	t	0
node1	OG6104098_145	t	OG6104434_169	t	0
node1	OG6103101_101	t	OG6105117_200	t	0
node1	OG6163447_545	t	OG6124423_411	h	0
node1	OG6102882_93	t	OG6105774_233	t	0
node1	OG6124431_412	h	OG6124172_399	h	0
node1	OG6104023_138	h	OG6153341_530	h	0
node1	OG6126618_439	h	OG6183607_557	h	0
node1	OG6112839_353	t	OG6112839_354	h	0
node1	OG6106240_245	t	OG6102242_70	t	0
node1	OG6105527_222	h	OG6105040_195	h	0
node1	OG6103997_133	h	OG6104033_140	t	0
node1	OG6107032_269	t	OG6109920_337	t	0
node1	OG6101039_32	h	OG6102674_87	h	0
node1	OG6106616_261	h	OG6316406_579	h	0
node1	OG6103377_111	h	OG6107244_274	t	0
node1	OG6112839_353	h	OG6150675_515	h	0
node1	OG6108764_317	t	OG6100528_12	t	0
node1	OG6101156_36	h	OG6105450_219	t	0
node1	OG6105354_211	h	OG6126269_418	h	0
node1	OG6107917_295	h	OG6163186_540	h	0
node1	OG6117846_372	t	OG6116556_363	t	0
node1	OG6104525_175	h	OG6102890_94	h	0
node1	OG6124339_408	h	OG6101672_55	h	0
node1	OG6103218_104	t	OG6136555_485	h	0
node1	OG6103099_100	h	OG6108102_304	t	0
node1	OG6104609_182	h	OG6104609_183	t	0
node1	OG6102303_71	h	OG6102957_96	h	0
node1	OG6104182_151	t	OG6106107_240	t	0
node1	OG6105739_231	t	OG6104823_190	t	0
node1	OG6315421_565	t	OG6106561_257	h	0
node1	OG6100515_10	t	OG6136744_492	t	0
node1	OG6163200_541	h	OG6107540_283	h	0
node1	OG6163211_542	h	OG6122578_390	t	0
node1	OG6105507_220	h	OG6100894_24	t	0
node1	OG6102624_82	h	OG6101603_52	h	0
node1	OG6132586_466	h	OG6101731_58	t	0
node1	OG6129118_454	h	OG6116556_364	h	0
node1	OG6100674_18	h	OG6104399_166	t	0
node1	OG6104535_177	h	OG6109676_333	t	0
node1	OG6100651_16	t	OG6105044_196	h	0
node1	OG6136375_479	t	OG6102852_92	h	0
node1	OG6132656_470	t	OG6101257_39	h	0
node1	OG6186994_563	t	OG6316299_574	h	0
node1	OG6186994_563	h	OG6112753_352	t	0
node1	OG6132280_463	t	OG6141913_501	h	0
node1	OG6103261_106	t	OG6166633_553	h	0
node1	OG6111483_345	h	OG6108499_310	t	0
node1	OG6102621_81	h	OG6103519_116	h	0
node1	OG6108971_319	h	OG6112323_349	h	0
node1	OG6141938_502	t	OG6104247_159	h	0
node1	OG6129035_450	t	OG6102557_79	h	0
node1	OG6101193_38	h	OG6105319_207	t	0
node1	OG6103986_131	t	OG6103986_130	h	0
node1	OG6106611_260	t	OG6106435_250	t	0
node1	OG6132723_477	t	OG6100998_31	t	0
node1	OG6136744_492	h	OG6109676_333	h	0
node1	OG6117759_368	t	OG6100923_28	h	0
node1	OG6151237_527	h	OG6104434_169	h	0
node1	OG6126460_428	h	OG6105715_230	t	0
node1	OG6162913_533	h	OG6126424_425	t	0
node1	OG6101431_45	h	OG6132280_463	h	0
node1	OG6108589_315	t	OG6103358_109	h	0
node1	OG6120926_380	t	OG6120926_381	t	0
node1	OG6100598_14	t	OG6102422_75	h	0
node1	OG6100338_5	t	OG6107907_293	h	0
node1	OG6163821_552	t	OG6162667_531	h	0
node1	OG6101919_62	t	OG6124322_405	t	0
node1	OG6104212_155	t	OG6101047_34	t	0
node1	OG6104527_176	h	OG6109712_335	h	0
node1	OG6102794_89	t	OG6106875_264	h	0
node1	OG6107391_276	t	OG6106420_249	t	0
node1	OG6101047_34	h	OG6108101_303	h	0
node1	OG6102385_74	t	OG6126667_445	t	0
node1	OG6102422_75	t	OG6101603_52	t	0
node1	OG6153341_530	t	OG6124468_416	t	0
node1	OG6122504_385	t	OG6100592_13	h	0
node1	OG6107740_289	t	OG6103099_100	t	0
node1	OG6126401_423	h	OG6126402_424	t	0
node1	OG6102757_88	t	OG6100923_28	t	0
node1	OG6122504_385	h	OG6106541_255	t	0
node1	OG6103788_122	h	OG6142327_510	h	0
node1	OG6106420_249	h	OG6316332_576	t	0
node1	OG6137882_499	h	OG6101604_53	h	0
node1	OG6112753_352	h	OG6112753_351	t	0
node1	OG6109233_326	t	OG6113327_356	t	0
node1	OG6109017_320	t	OG6136605_487	h	0
node1	OG6104212_155	h	OG6112753_351	h	0
node1	OG6105040_195	t	OG6107975_300	t	0
node1	OG6104030_139	t	OG6163646_548	t	0
node1	OG6184055_562	h	OG6124185_401	t	0
node1	OG6162964_534	h	OG6103034_99	h	0
node1	OG6110471_338	t	OG6105083_199	t	0
node1	OG6102133_67	h	OG6315872_568	h	0
node1	OG6101347_40	h	OG6104063_141	t	0
node1	OG6106710_262	h	OG6126499_431	t	0
node1	OG6102882_93	h	OG6124338_407	t	0
node1	OG6104399_166	h	OG6163097_538	t	0
node1	OG6124421_410	t	OG6107098_272	t	0
node1	OG6101919_62	h	OG6108171_307	t	0
node1	OG6103877_125	t	OG6109177_322	t	0
node1	OG6103788_122	t	OG6102986_97	t	0
node1	OG6107917_295	t	OG6105564_225	h	0
node1	OG6105414_216	h	OG6105053_197	t	0
node1	OG6162974_535	h	OG6105349_210	h	0
node1	OG6105557_224	t	OG6101596_51	t	0
node1	OG6104136_147	t	OG6101938_63	h	0
node1	OG6126654_442	h	OG6126654_443	t	0
node1	OG6107023_268	t	OG6126375_422	h	0
node1	OG6102059_66	h	OG6120817_378	h	0
node1	OG6122637_394	h	OG6107740_289	h	0
node1	OG6101944_64	t	OG6105891_236	t	0
node1	OG6107540_281	t	OG6108171_307	h	0
node1	OG6151144_526	t	OG6129238_457	t	0
node1	OG6122647_396	h	OG6103261_106	h	0
node1	OG6107742_290	h	OG6100679_19	t	0
node1	OG6101456_47	t	OG6105380_215	t	0
node1	OG6163821_552	h	OG6128919_446	h	0
node1	OG6105648_227	h	OG6101672_55	t	0
node1	OG6104098_145	h	OG6122646_395	h	0
node1	OG6100598_14	h	OG6105334_209	t	0
node1	OG6316286_573	h	OG6122559_389	t	0
node1	OG6124484_417	h	OG6124322_405	h	0
node1	OG6122582_391	h	OG6151004_522	h	0
node1	OG6100679_19	h	OG6105449_218	h	0
node1	OG6163200_541	t	OG6107540_282	h	0
node1	OG6126587_435	t	OG6315967_571	h	0
node1	OG6106476_254	h	OG6105891_236	h	0
node1	OG6142298_508	h	OG6104788_188	t	0
node1	OG6151074_523	h	OG6129000_449	t	0
