gene_id	family
AnophelesatroparvusEBRO|AATE018285	OG6100212
AnophelesalbimanusSTECLA|AALB006802	OG6100220
AnophelesalbimanusSTECLA|AALB007725	OG6100220
AnophelesatroparvusEBRO|AATE005101	OG6100220
AnophelesatroparvusEBRO|AATE010789	OG6100220
AnophelesfunestusFUMOZ|AFUN006891	OG6100220
AnophelesfunestusFUMOZ|AFUN002853	OG6100220
AnophelesgambiaePEST|AGAP000410	OG6100220
AnophelesgambiaePEST|AGAP000532	OG6100220
AnophelesalbimanusSTECLA|AALB006757	OG6100236
AnophelesatroparvusEBRO|AATE016804	OG6100236
AnophelesfunestusFUMOZ|AFUN007590	OG6100236
AnophelesgambiaePEST|AGAP000440	OG6100236
AnophelesalbimanusSTECLA|AALB016272	OG6100239
AnophelesatroparvusEBRO|AATE003951	OG6100239
AnophelesfunestusFUMOZ|AFUN020899	OG6100239
AnophelesgambiaePEST|AGAP000558	OG6100239
AnophelesalbimanusSTECLA|AALB007659	OG6100256
AnophelesatroparvusEBRO|AATE011817	OG6100256
AnophelesfunestusFUMOZ|AFUN006244	OG6100256
AnophelesgambiaePEST|AGAP000787	OG6100256
AnophelesalbimanusSTECLA|AALB006902	OG6100261
AnophelesatroparvusEBRO|AATE010473	OG6100261
AnophelesfunestusFUMOZ|AFUN021602	OG6100261
AnophelesgambiaePEST|AGAP000258	OG6100261
AnophelesalbimanusSTECLA|AALB007653	OG6100262
AnophelesatroparvusEBRO|AATE011217	OG6100262
AnophelesfunestusFUMOZ|AFUN010361	OG6100262
AnophelesgambiaePEST|AGAP001065	OG6100262
AnophelesalbimanusSTECLA|AALB006563	OG6100266
AnophelesatroparvusEBRO|AATE016830	OG6100266
AnophelesfunestusFUMOZ|AFUN006816	OG6100266
AnophelesgambiaePEST|AGAP000655	OG6100266
AnophelesalbimanusSTECLA|AALB006355	OG6100269
AnophelesatroparvusEBRO|AATE010761	OG6100269
AnophelesatroparvusEBRO|AATE013667	OG6100269
AnophelesatroparvusEBRO|AATE012763	OG6100269
AnophelesfunestusFUMOZ|AFUN011574	OG6100269
AnophelesgambiaePEST|AGAP000064	OG6100269
AnophelesalbimanusSTECLA|AALB006920	OG6100271
AnophelesatroparvusEBRO|AATE010030	OG6100271
AnophelesatroparvusEBRO|AATE020124	OG6100271
AnophelesatroparvusEBRO|AATE009921	OG6100271
AnophelesfunestusFUMOZ|AFUN016609	OG6100271
AnophelesgambiaePEST|AGAP001015	OG6100271
AnophelesalbimanusSTECLA|AALB007736	OG6100275
AnophelesatroparvusEBRO|AATE015802	OG6100275
AnophelesfunestusFUMOZ|AFUN021761	OG6100275
AnophelesgambiaePEST|AGAP000991	OG6100275
AnophelesatroparvusEBRO|AATE020548	OG6100276
AnophelesatroparvusEBRO|AATE006468	OG6100276
AnophelesatroparvusEBRO|AATE001041	OG6100276
AnophelesatroparvusEBRO|AATE007792	OG6100282
AnophelesatroparvusEBRO|AATE019843	OG6100282
AnophelesalbimanusSTECLA|AALB006324	OG6100296
AnophelesatroparvusEBRO|AATE018478	OG6100296
AnophelesfunestusFUMOZ|AFUN000701	OG6100296
AnophelesgambiaePEST|AGAP000727	OG6100296
AnophelesalbimanusSTECLA|AALB006852	OG6100297
AnophelesatroparvusEBRO|AATE001290	OG6100297
AnophelesfunestusFUMOZ|AFUN006221	OG6100297
AnophelesgambiaePEST|AGAP000804	OG6100297
AnophelesalbimanusSTECLA|AALB006459	OG6100307
AnophelesalbimanusSTECLA|AALB007640	OG6100307
AnophelesfunestusFUMOZ|AFUN007294	OG6100307
AnophelesgambiaePEST|AGAP000885	OG6100307
AnophelesalbimanusSTECLA|AALB006493	OG6100311
AnophelesatroparvusEBRO|AATE001608	OG6100311
AnophelesfunestusFUMOZ|AFUN003540	OG6100311
AnophelesgambiaePEST|AGAP000551	OG6100311
AnophelesalbimanusSTECLA|AALB007629	OG6100313
AnophelesfunestusFUMOZ|AFUN005813	OG6100313
AnophelesgambiaePEST|AGAP000011	OG6100313
AnophelesalbimanusSTECLA|AALB007647	OG6100316
AnophelesalbimanusSTECLA|AALB007648	OG6100316
AnophelesatroparvusEBRO|AATE019392	OG6100316
AnophelesatroparvusEBRO|AATE018338	OG6100316
AnophelesfunestusFUMOZ|AFUN020357	OG6100316
AnophelesgambiaePEST|AGAP000591	OG6100316
AnophelesfunestusFUMOZ|AFUN011987	OG6100317
AnophelesfunestusFUMOZ|AFUN019829	OG6100317
AnophelesgambiaePEST|AGAP000408	OG6100317
AnophelesgambiaePEST|AGAP029433	OG6100317
AnophelesatroparvusEBRO|AATE015529	OG6100322
AnophelesfunestusFUMOZ|AFUN021580	OG6100322
AnophelesgambiaePEST|AGAP000541	OG6100322
AnophelesalbimanusSTECLA|AALB006743	OG6100324
AnophelesatroparvusEBRO|AATE018776	OG6100324
AnophelesfunestusFUMOZ|AFUN019998	OG6100324
AnophelesgambiaePEST|AGAP000005	OG6100324
AnophelesatroparvusEBRO|AATE004768	OG6100334
AnophelesatroparvusEBRO|AATE013753	OG6100334
AnophelesatroparvusEBRO|AATE001003	OG6100334
AnophelesatroparvusEBRO|AATE000445	OG6100334
AnophelesalbimanusSTECLA|AALB006828	OG6100338
AnophelesatroparvusEBRO|AATE014131	OG6100338
AnophelesfunestusFUMOZ|AFUN010148	OG6100338
AnophelesgambiaePEST|AGAP000564	OG6100338
AnophelesalbimanusSTECLA|AALB006788	OG6100344
AnophelesatroparvusEBRO|AATE004528	OG6100344
AnophelesfunestusFUMOZ|AFUN020046	OG6100344
AnophelesfunestusFUMOZ|AFUN019804	OG6100344
AnophelesgambiaePEST|AGAP000561	OG6100344
AnophelesalbimanusSTECLA|AALB006826	OG6100345
AnophelesalbimanusSTECLA|AALB003706	OG6100345
AnophelesalbimanusSTECLA|AALB003707	OG6100345
AnophelesatroparvusEBRO|AATE020389	OG6100345
AnophelesfunestusFUMOZ|AFUN000193	OG6100345
AnophelesfunestusFUMOZ|AFUN007312	OG6100345
AnophelesfunestusFUMOZ|AFUN021786	OG6100345
AnophelesgambiaePEST|AGAP000037	OG6100345
AnophelesgambiaePEST|AGAP000331	OG6100345
AnophelesgambiaePEST|AGAP000427	OG6100345
AnophelesalbimanusSTECLA|AALB007785	OG6100351
AnophelesfunestusFUMOZ|AFUN006994	OG6100351
AnophelesgambiaePEST|AGAP000735	OG6100351
AnophelesalbimanusSTECLA|AALB006525	OG6100391
AnophelesatroparvusEBRO|AATE000878	OG6100391
AnophelesfunestusFUMOZ|AFUN020875	OG6100391
AnophelesgambiaePEST|AGAP000240	OG6100391
AnophelesfunestusFUMOZ|AFUN007287	OG6100395
AnophelesalbimanusSTECLA|AALB003303	OG6100396
AnophelesfunestusFUMOZ|AFUN007570	OG6100396
AnophelesgambiaePEST|AGAP000627	OG6100396
AnophelesfunestusFUMOZ|AFUN021928	OG6100403
AnophelesalbimanusSTECLA|AALB006614	OG6100405
AnophelesatroparvusEBRO|AATE013103	OG6100405
AnophelesfunestusFUMOZ|AFUN021095	OG6100405
AnophelesgambiaePEST|AGAP000095	OG6100405
AnophelesalbimanusSTECLA|AALB006861	OG6100435
AnophelesalbimanusSTECLA|AALB006859	OG6100435
AnophelesatroparvusEBRO|AATE018475	OG6100435
AnophelesfunestusFUMOZ|AFUN020014	OG6100435
AnophelesgambiaePEST|AGAP000300	OG6100435
AnophelesalbimanusSTECLA|AALB006758	OG6100445
AnophelesatroparvusEBRO|AATE002874	OG6100445
AnophelesatroparvusEBRO|AATE016499	OG6100445
AnophelesfunestusFUMOZ|AFUN006903	OG6100445
AnophelesfunestusFUMOZ|AFUN021596	OG6100445
AnophelesfunestusFUMOZ|AFUN021597	OG6100445
AnophelesgambiaePEST|AGAP000288	OG6100445
AnophelesgambiaePEST|AGAP000289	OG6100445
AnophelesgambiaePEST|AGAP000414	OG6100445
AnophelesatroparvusEBRO|AATE013501	OG6100449
AnophelesatroparvusEBRO|AATE005142	OG6100461
AnophelesfunestusFUMOZ|AFUN010157	OG6100464
AnophelesgambiaePEST|AGAP000575	OG6100464
AnophelesalbimanusSTECLA|AALB007702	OG6100466
AnophelesatroparvusEBRO|AATE000352	OG6100466
AnophelesfunestusFUMOZ|AFUN008056	OG6100466
AnophelesgambiaePEST|AGAP000473	OG6100466
AnophelesfunestusFUMOZ|AFUN006250	OG6100480
AnophelesgambiaePEST|AGAP000780	OG6100480
AnophelesalbimanusSTECLA|AALB007765	OG6100492
AnophelesfunestusFUMOZ|AFUN020416	OG6100492
AnophelesgambiaePEST|AGAP000159	OG6100492
AnophelesalbimanusSTECLA|AALB006549	OG6100515
AnophelesatroparvusEBRO|AATE012728	OG6100515
AnophelesfunestusFUMOZ|AFUN000200	OG6100515
AnophelesgambiaePEST|AGAP000028	OG6100515
AnophelesalbimanusSTECLA|AALB006794	OG6100521
AnophelesatroparvusEBRO|AATE007781	OG6100521
AnophelesfunestusFUMOZ|AFUN007584	OG6100521
AnophelesgambiaePEST|AGAP000434	OG6100521
AnophelesalbimanusSTECLA|AALB006338	OG6100524
AnophelesatroparvusEBRO|AATE003308	OG6100524
AnophelesfunestusFUMOZ|AFUN002252	OG6100524
AnophelesgambiaePEST|AGAP000901	OG6100524
AnophelesatroparvusEBRO|AATE006488	OG6100528
AnophelesfunestusFUMOZ|AFUN005692	OG6100528
AnophelesgambiaePEST|AGAP000462	OG6100528
AnophelesatroparvusEBRO|AATE015624	OG6100542
AnophelesfunestusFUMOZ|AFUN015731	OG6100542
AnophelesgambiaePEST|AGAP000767	OG6100542
AnophelesalbimanusSTECLA|AALB003300	OG6100550
AnophelesatroparvusEBRO|AATE000011	OG6100550
AnophelesfunestusFUMOZ|AFUN010139	OG6100550
AnophelesfunestusFUMOZ|AFUN021759	OG6100559
AnophelesgambiaePEST|AGAP000325	OG6100559
AnophelesfunestusFUMOZ|AFUN000259	OG6100561
AnophelesgambiaePEST|AGAP000252	OG6100561
AnophelesalbimanusSTECLA|AALB006717	OG6100571
AnophelesalbimanusSTECLA|AALB006716	OG6100571
AnophelesfunestusFUMOZ|AFUN019862	OG6100571
AnophelesgambiaePEST|AGAP000672	OG6100571
AnophelesalbimanusSTECLA|AALB006679	OG6100578
AnophelesatroparvusEBRO|AATE005125	OG6100578
AnophelesfunestusFUMOZ|AFUN000231	OG6100578
AnophelesgambiaePEST|AGAP000853	OG6100578
AnophelesalbimanusSTECLA|AALB006812	OG6100592
AnophelesatroparvusEBRO|AATE015407	OG6100592
AnophelesfunestusFUMOZ|AFUN000242	OG6100592
AnophelesgambiaePEST|AGAP000862	OG6100592
AnophelesalbimanusSTECLA|AALB006337	OG6100598
AnophelesatroparvusEBRO|AATE017789	OG6100598
AnophelesfunestusFUMOZ|AFUN007292	OG6100598
AnophelesgambiaePEST|AGAP000887	OG6100598
AnophelesalbimanusSTECLA|AALB006424	OG6100599
AnophelesatroparvusEBRO|AATE008220	OG6100599
AnophelesfunestusFUMOZ|AFUN005721	OG6100599
AnophelesgambiaePEST|AGAP000275	OG6100599
AnophelesfunestusFUMOZ|AFUN010131	OG6100614
AnophelesgambiaePEST|AGAP000008	OG6100614
AnophelesatroparvusEBRO|AATE012929	OG6100626
AnophelesfunestusFUMOZ|AFUN022291	OG6100626
AnophelesgambiaePEST|AGAP000679	OG6100626
AnophelesalbimanusSTECLA|AALB006817	OG6100640
AnophelesatroparvusEBRO|AATE004842	OG6100640
AnophelesalbimanusSTECLA|AALB006857	OG6100651
AnophelesatroparvusEBRO|AATE015818	OG6100651
AnophelesfunestusFUMOZ|AFUN003871	OG6100651
AnophelesgambiaePEST|AGAP000982	OG6100651
AnophelesalbimanusSTECLA|AALB007774	OG6100653
AnophelesatroparvusEBRO|AATE012898	OG6100653
AnophelesatroparvusEBRO|AATE002648	OG6100653
AnophelesatroparvusEBRO|AATE016113	OG6100653
AnophelesfunestusFUMOZ|AFUN005733	OG6100653
AnophelesgambiaePEST|AGAP000389	OG6100653
AnophelesfunestusFUMOZ|AFUN000230	OG6100654
AnophelesgambiaePEST|AGAP000852	OG6100654
AnophelesalbimanusSTECLA|AALB007696	OG6100660
AnophelesatroparvusEBRO|AATE001740	OG6100660
AnophelesfunestusFUMOZ|AFUN006969	OG6100660
AnophelesgambiaePEST|AGAP000137	OG6100660
AnophelesalbimanusSTECLA|AALB006452	OG6100670
AnophelesatroparvusEBRO|AATE009356	OG6100670
AnophelesfunestusFUMOZ|AFUN000216	OG6100670
AnophelesgambiaePEST|AGAP000625	OG6100670
AnophelesalbimanusSTECLA|AALB006777	OG6100671
AnophelesatroparvusEBRO|AATE012345	OG6100671
AnophelesfunestusFUMOZ|AFUN003878	OG6100671
AnophelesgambiaePEST|AGAP000145	OG6100671
AnophelesalbimanusSTECLA|AALB003312	OG6100674
AnophelesatroparvusEBRO|AATE002691	OG6100674
AnophelesfunestusFUMOZ|AFUN008082	OG6100674
AnophelesgambiaePEST|AGAP001021	OG6100674
AnophelesalbimanusSTECLA|AALB006392	OG6100678
AnophelesatroparvusEBRO|AATE000443	OG6100678
AnophelesfunestusFUMOZ|AFUN005708	OG6100678
AnophelesgambiaePEST|AGAP000815	OG6100678
AnophelesalbimanusSTECLA|AALB006706	OG6100679
AnophelesatroparvusEBRO|AATE017200	OG6100679
AnophelesfunestusFUMOZ|AFUN010392	OG6100679
AnophelesgambiaePEST|AGAP000112	OG6100679
AnophelesalbimanusSTECLA|AALB006834	OG6100681
AnophelesfunestusFUMOZ|AFUN020342	OG6100681
AnophelesgambiaePEST|AGAP000577	OG6100681
AnophelesfunestusFUMOZ|AFUN006251	OG6100701
AnophelesgambiaePEST|AGAP000953	OG6100701
AnophelesalbimanusSTECLA|AALB006344	OG6100703
AnophelesatroparvusEBRO|AATE000873	OG6100703
AnophelesfunestusFUMOZ|AFUN021092	OG6100703
AnophelesgambiaePEST|AGAP000097	OG6100703
AnophelesalbimanusSTECLA|AALB003317	OG6100705
AnophelesatroparvusEBRO|AATE014374	OG6100705
AnophelesfunestusFUMOZ|AFUN002859	OG6100705
AnophelesgambiaePEST|AGAP000535	OG6100705
AnophelesalbimanusSTECLA|AALB016197	OG6100708
AnophelesatroparvusEBRO|AATE008203	OG6100708
AnophelesatroparvusEBRO|AATE011645	OG6100708
AnophelesfunestusFUMOZ|AFUN020376	OG6100708
AnophelesgambiaePEST|AGAP000847	OG6100708
AnophelesalbimanusSTECLA|AALB007773	OG6100715
AnophelesatroparvusEBRO|AATE006610	OG6100715
AnophelesfunestusFUMOZ|AFUN000708	OG6100715
AnophelesgambiaePEST|AGAP000719	OG6100715
AnophelesatroparvusEBRO|AATE007604	OG6100731
AnophelesfunestusFUMOZ|AFUN005686	OG6100731
AnophelesgambiaePEST|AGAP000457	OG6100731
AnophelesfunestusFUMOZ|AFUN008576	OG6100753
AnophelesalbimanusSTECLA|AALB006723	OG6100764
AnophelesatroparvusEBRO|AATE003407	OG6100764
AnophelesfunestusFUMOZ|AFUN006076	OG6100764
AnophelesalbimanusSTECLA|AALB006399	OG6100777
AnophelesatroparvusEBRO|AATE012311	OG6100777
AnophelesgambiaePEST|AGAP000935	OG6100777
AnophelesalbimanusSTECLA|AALB006515	OG6100782
AnophelesatroparvusEBRO|AATE009672	OG6100782
AnophelesfunestusFUMOZ|AFUN020215	OG6100782
AnophelesgambiaePEST|AGAP000236	OG6100782
AnophelesfunestusFUMOZ|AFUN008173	OG6100835
AnophelesalbimanusSTECLA|AALB003700	OG6100846
AnophelesatroparvusEBRO|AATE019739	OG6100846
AnophelesfunestusFUMOZ|AFUN002149	OG6100846
AnophelesgambiaePEST|AGAP000170	OG6100846
AnophelesatroparvusEBRO|AATE016339	OG6100852
AnophelesfunestusFUMOZ|AFUN006252	OG6100852
AnophelesgambiaePEST|AGAP000952	OG6100852
AnophelesalbimanusSTECLA|AALB006309	OG6100878
AnophelesatroparvusEBRO|AATE018643	OG6100878
AnophelesfunestusFUMOZ|AFUN006961	OG6100878
AnophelesgambiaePEST|AGAP000971	OG6100878
AnophelesalbimanusSTECLA|AALB015586	OG6100886
AnophelesfunestusFUMOZ|AFUN005585	OG6100886
AnophelesgambiaePEST|AGAP000500	OG6100886
AnophelesalbimanusSTECLA|AALB007644	OG6100894
AnophelesatroparvusEBRO|AATE001974	OG6100894
AnophelesatroparvusEBRO|AATE005521	OG6100894
AnophelesfunestusFUMOZ|AFUN011586	OG6100894
AnophelesfunestusFUMOZ|AFUN011585	OG6100894
AnophelesgambiaePEST|AGAP000595	OG6100894
AnophelesgambiaePEST|AGAP000596	OG6100894
AnophelesalbimanusSTECLA|AALB006916	OG6100896
AnophelesalbimanusSTECLA|AALB007700	OG6100896
AnophelesatroparvusEBRO|AATE016042	OG6100896
AnophelesatroparvusEBRO|AATE012122	OG6100896
AnophelesfunestusFUMOZ|AFUN008060	OG6100896
AnophelesfunestusFUMOZ|AFUN005805	OG6100896
AnophelesgambiaePEST|AGAP000476	OG6100896
AnophelesgambiaePEST|AGAP001037	OG6100896
AnophelesatroparvusEBRO|AATE004297	OG6100917
AnophelesfunestusFUMOZ|AFUN020676	OG6100917
AnophelesalbimanusSTECLA|AALB006940	OG6100923
AnophelesalbimanusSTECLA|AALB006938	OG6100923
AnophelesatroparvusEBRO|AATE003954	OG6100923
AnophelesatroparvusEBRO|AATE008628	OG6100923
AnophelesfunestusFUMOZ|AFUN020242	OG6100923
AnophelesgambiaePEST|AGAP000639	OG6100923
AnophelesalbimanusSTECLA|AALB007650	OG6100927
AnophelesatroparvusEBRO|AATE008229	OG6100927
AnophelesfunestusFUMOZ|AFUN011593	OG6100927
AnophelesgambiaePEST|AGAP000704	OG6100927
AnophelesatroparvusEBRO|AATE009636	OG6100934
AnophelesalbimanusSTECLA|AALB006265	OG6100949
AnophelesatroparvusEBRO|AATE018926	OG6100949
AnophelesfunestusFUMOZ|AFUN000235	OG6100949
AnophelesgambiaePEST|AGAP000857	OG6100949
AnophelesalbimanusSTECLA|AALB006682	OG6100953
AnophelesalbimanusSTECLA|AALB006681	OG6100953
AnophelesatroparvusEBRO|AATE015652	OG6100953
AnophelesatroparvusEBRO|AATE004657	OG6100953
AnophelesatroparvusEBRO|AATE008218	OG6100953
AnophelesatroparvusEBRO|AATE000186	OG6100953
AnophelesatroparvusEBRO|AATE011804	OG6100953
AnophelesatroparvusEBRO|AATE009418	OG6100953
AnophelesfunestusFUMOZ|AFUN020006	OG6100953
AnophelesgambiaePEST|AGAP000461	OG6100953
AnophelesalbimanusSTECLA|AALB006829	OG6100956
AnophelesatroparvusEBRO|AATE011146	OG6100956
AnophelesfunestusFUMOZ|AFUN010149	OG6100956
AnophelesgambiaePEST|AGAP000565	OG6100956
AnophelesalbimanusSTECLA|AALB007662	OG6100957
AnophelesfunestusFUMOZ|AFUN007589	OG6100957
AnophelesgambiaePEST|AGAP000439	OG6100957
AnophelesalbimanusSTECLA|AALB006538	OG6100964
AnophelesatroparvusEBRO|AATE010589	OG6100964
AnophelesfunestusFUMOZ|AFUN006688	OG6100964
AnophelesgambiaePEST|AGAP000923	OG6100964
AnophelesalbimanusSTECLA|AALB006815	OG6100965
AnophelesatroparvusEBRO|AATE009592	OG6100965
AnophelesfunestusFUMOZ|AFUN006817	OG6100965
AnophelesgambiaePEST|AGAP000653	OG6100965
AnophelesalbimanusSTECLA|AALB006601	OG6100978
AnophelesfunestusFUMOZ|AFUN010132	OG6100978
AnophelesgambiaePEST|AGAP000007	OG6100978
AnophelesalbimanusSTECLA|AALB006904	OG6100986
AnophelesatroparvusEBRO|AATE019280	OG6100986
AnophelesfunestusFUMOZ|AFUN000208	OG6100986
AnophelesgambiaePEST|AGAP000018	OG6100986
AnophelesalbimanusSTECLA|AALB006482	OG6100998
AnophelesatroparvusEBRO|AATE008311	OG6100998
AnophelesfunestusFUMOZ|AFUN005735	OG6100998
AnophelesgambiaePEST|AGAP000387	OG6100998
AnophelesalbimanusSTECLA|AALB006562	OG6101018
AnophelesatroparvusEBRO|AATE014786	OG6101018
AnophelesfunestusFUMOZ|AFUN006815	OG6101018
AnophelesgambiaePEST|AGAP000654	OG6101018
AnophelesfunestusFUMOZ|AFUN007554	OG6101019
AnophelesgambiaePEST|AGAP000416	OG6101019
AnophelesalbimanusSTECLA|AALB006422	OG6101021
AnophelesatroparvusEBRO|AATE009719	OG6101021
AnophelesfunestusFUMOZ|AFUN010350	OG6101021
AnophelesgambiaePEST|AGAP001052	OG6101021
AnophelesatroparvusEBRO|AATE014844	OG6101029
AnophelesatroparvusEBRO|AATE006760	OG6101039
AnophelesfunestusFUMOZ|AFUN010147	OG6101039
AnophelesgambiaePEST|AGAP000563	OG6101039
AnophelesalbimanusSTECLA|AALB003326	OG6101045
AnophelesatroparvusEBRO|AATE006815	OG6101045
AnophelesfunestusFUMOZ|AFUN006065	OG6101045
AnophelesgambiaePEST|AGAP000942	OG6101045
AnophelesalbimanusSTECLA|AALB007786	OG6101047
AnophelesatroparvusEBRO|AATE020629	OG6101047
AnophelesfunestusFUMOZ|AFUN008139	OG6101047
AnophelesgambiaePEST|AGAP000615	OG6101047
AnophelesalbimanusSTECLA|AALB003698	OG6101050
AnophelesatroparvusEBRO|AATE015772	OG6101050
AnophelesfunestusFUMOZ|AFUN007296	OG6101050
AnophelesgambiaePEST|AGAP000883	OG6101050
AnophelesalbimanusSTECLA|AALB006363	OG6101051
AnophelesatroparvusEBRO|AATE018218	OG6101051
AnophelesfunestusFUMOZ|AFUN006235	OG6101051
AnophelesgambiaePEST|AGAP000794	OG6101051
AnophelesalbimanusSTECLA|AALB006929	OG6101067
AnophelesatroparvusEBRO|AATE016003	OG6101067
AnophelesfunestusFUMOZ|AFUN019891	OG6101067
AnophelesgambiaePEST|AGAP000328	OG6101067
AnophelesalbimanusSTECLA|AALB006726	OG6101133
AnophelesatroparvusEBRO|AATE015114	OG6101133
AnophelesfunestusFUMOZ|AFUN006990	OG6101133
AnophelesgambiaePEST|AGAP000739	OG6101133
AnophelesalbimanusSTECLA|AALB006476	OG6101137
AnophelesatroparvusEBRO|AATE008898	OG6101137
AnophelesfunestusFUMOZ|AFUN006247	OG6101137
AnophelesgambiaePEST|AGAP000784	OG6101137
AnophelesalbimanusSTECLA|AALB006453	OG6101143
