query_id	query_start	query_end	hit_accession	hit_id	hit_description	hit_start	hit_end	conditional_evalue	bitscore	family
AnophelesgambiaePEST|AGAP000553	419	567	PF01061.28	ABC2_membrane	ABC-2 type transporter	0	147	2.6e-31	99.1	OG6100076
AnophelesalbimanusSTECLA|AALB006905	118	275	PF00005.31	ABC_tran	ABC transporter	0	137	8e-27	84.9	OG6100076
AnophelesalbimanusSTECLA|AALB007665	104	259	PF00005.31	ABC_tran	ABC transporter	1	137	2.5e-26	83.0	OG6100076
AnophelesatroparvusEBRO|AATE004675	117	274	PF00005.31	ABC_tran	ABC transporter	0	137	3.1000000000000002e-27	86.2	OG6100076
AnophelesfunestusFUMOZ|AFUN003538	114	271	PF00005.31	ABC_tran	ABC transporter	0	137	1.7000000000000002e-27	87.1	OG6100076
AnophelesgambiaePEST|AGAP000506	114	267	PF00005.31	ABC_tran	ABC transporter	1	137	2.3e-26	82.2	OG6100076
AnophelesgambiaePEST|AGAP000553	115	272	PF00005.31	ABC_tran	ABC transporter	0	137	1.2e-27	87.7	OG6100076
AnophelesgambiaePEST|AGAP000506	647	671	PF04195.16	Transposase_28	Putative gypsy type transposon	19	43	0.00011	11.6	OG6100076
AnophelesalbimanusSTECLA|AALB007715	34	592	PF00135.32	COesterase	Carboxylesterase family	2	515	2.3e-138	449.9	OG6100080
AnophelesatroparvusEBRO|AATE005176	104	662	PF00135.32	COesterase	Carboxylesterase family	2	515	3.7999999999999996e-138	449.6	OG6100080
AnophelesfunestusFUMOZ|AFUN005694	33	591	PF00135.32	COesterase	Carboxylesterase family	2	515	3.7e-139	452.5	OG6100080
AnophelesgambiaePEST|AGAP000466	35	593	PF00135.32	COesterase	Carboxylesterase family	2	515	9.6e-140	454.4	OG6100080
AnophelesatroparvusEBRO|AATE014692	192	357	PF00685.31	Sulfotransfer_1	Sulfotransferase domain	91	254	1.1999999999999999e-43	136.3	OG6100094
AnophelesalbimanusSTECLA|AALB006669	34	416	PF00501.32	AMP-binding	AMP-binding enzyme	1	381	3.4e-82	263.3	OG6100107
AnophelesatroparvusEBRO|AATE011793	94	470	PF00501.32	AMP-binding	AMP-binding enzyme	5	381	2e-80	257.4	OG6100107
AnophelesfunestusFUMOZ|AFUN000570	35	409	PF00501.32	AMP-binding	AMP-binding enzyme	6	381	1.3e-79	255.3	OG6100107
AnophelesalbimanusSTECLA|AALB006669	467	551	PF13193.10	AMP-binding_C	AMP-binding enzyme C-terminal domain	0	76	3.7e-23	69.6	OG6100107
AnophelesatroparvusEBRO|AATE011793	521	599	PF13193.10	AMP-binding_C	AMP-binding enzyme C-terminal domain	0	76	8.799999999999999e-25	74.8	OG6100107
AnophelesfunestusFUMOZ|AFUN000570	460	540	PF13193.10	AMP-binding_C	AMP-binding enzyme C-terminal domain	0	76	2.1e-21	64.5	OG6100107
AnophelesalbimanusSTECLA|AALB006519	44	177	PF00578.25	AhpC-TSA	AhpC/TSA family	0	123	6.7e-44	137.0	OG6100111
AnophelesatroparvusEBRO|AATE003063	37	169	PF00578.25	AhpC-TSA	AhpC/TSA family	0	123	3.1000000000000003e-44	138.1	OG6100111
AnophelesfunestusFUMOZ|AFUN005725	36	168	PF00578.25	AhpC-TSA	AhpC/TSA family	0	123	2.1000000000000003e-44	138.6	OG6100111
AnophelesgambiaePEST|AGAP000396	41	173	PF00578.25	AhpC-TSA	AhpC/TSA family	0	123	8.399999999999999e-43	133.4	OG6100111
AnophelesalbimanusSTECLA|AALB006519	197	227	PF10417.13	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin	0	31	7.8e-14	39.5	OG6100111
AnophelesatroparvusEBRO|AATE003063	189	222	PF10417.13	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin	0	31	8.3e-14	39.5	OG6100111
AnophelesfunestusFUMOZ|AFUN005725	188	221	PF10417.13	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin	0	31	8.4e-14	39.5	OG6100111
AnophelesgambiaePEST|AGAP000396	193	226	PF10417.13	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin	0	31	8.6e-14	39.4	OG6100111
AnophelesalbimanusSTECLA|AALB015483	3	376	PF00022.23	Actin	Actin	1	410	2.5e-154	499.8	OG6100127
AnophelesatroparvusEBRO|AATE010151	3	376	PF00022.23	Actin	Actin	1	410	2.5e-154	499.8	OG6100127
AnophelesfunestusFUMOZ|AFUN006819	3	376	PF00022.23	Actin	Actin	1	410	2.5e-154	499.8	OG6100127
AnophelesgambiaePEST|AGAP000651	3	376	PF00022.23	Actin	Actin	1	410	2.5e-154	499.8	OG6100127
AnophelesalbimanusSTECLA|AALB015556	6	78	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	4	76	3.6e-15	44.9	OG6100130
AnophelesalbimanusSTECLA|AALB015557	7	81	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	4	76	1.8e-11	33.1	OG6100130
AnophelesatroparvusEBRO|AATE007312	5	79	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	2	75	1.4e-13	39.8	OG6100130
AnophelesatroparvusEBRO|AATE007485	7	78	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	4	76	4.3e-15	44.7	OG6100130
AnophelesfunestusFUMOZ|AFUN005589	6	76	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	4	74	5.9e-13	38.0	OG6100130
AnophelesfunestusFUMOZ|AFUN007291	5	77	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	3	74	8.8e-11	30.8	OG6100130
AnophelesgambiaePEST|AGAP000761	6	76	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	4	74	7.8e-14	40.8	OG6100130
AnophelesgambiaePEST|AGAP000888	6	77	PF02798.24	GST_N	Glutathione S-transferase, N-terminal domain	4	74	5.4e-10	28.5	OG6100130
AnophelesalbimanusSTECLA|AALB015556	131	203	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	20	91	2.5e-13	38.9	OG6100130
AnophelesalbimanusSTECLA|AALB015557	134	208	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	20	90	3.4e-08	22.5	OG6100130
AnophelesatroparvusEBRO|AATE007312	127	207	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	13	92	4.6e-15	44.5	OG6100130
AnophelesatroparvusEBRO|AATE007485	133	201	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	22	89	4e-12	35.1	OG6100130
AnophelesfunestusFUMOZ|AFUN005589	133	202	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	22	90	1.1e-13	40.3	OG6100130
AnophelesfunestusFUMOZ|AFUN007291	128	202	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	17	89	2.5e-12	35.7	OG6100130
AnophelesgambiaePEST|AGAP000761	132	203	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	21	91	9.3e-14	40.5	OG6100130
AnophelesgambiaePEST|AGAP000888	128	206	PF00043.29	GST_C	Glutathione S-transferase, C-terminal domain	17	92	1.7e-13	39.7	OG6100130
AnophelesalbimanusSTECLA|AALB007719	36	273	PF00194.25	Carb_anhydrase	Eukaryotic-type carbonic anhydrase	1	252	9.5e-72	227.7	OG6100138
AnophelesfunestusFUMOZ|AFUN010347	35	271	PF00194.25	Carb_anhydrase	Eukaryotic-type carbonic anhydrase	1	251	3.3e-71	225.9	OG6100138
AnophelesalbimanusSTECLA|AALB006592	11	287	PF00246.28	Peptidase_M14	Zinc carboxypeptidase	0	284	5.6e-109	350.2	OG6100142
AnophelesatroparvusEBRO|AATE010993	166	442	PF00246.28	Peptidase_M14	Zinc carboxypeptidase	0	284	9.2e-108	347.2	OG6100142
AnophelesfunestusFUMOZ|AFUN021858	116	395	PF00246.28	Peptidase_M14	Zinc carboxypeptidase	0	285	8.2e-101	324.4	OG6100142
AnophelesgambiaePEST|AGAP001026	116	395	PF00246.28	Peptidase_M14	Zinc carboxypeptidase	0	285	1.5e-101	326.8	OG6100142
AnophelesatroparvusEBRO|AATE010993	68	138	PF02244.20	Propep_M14	Carboxypeptidase activation peptide	0	73	2.2e-14	40.6	OG6100142
AnophelesfunestusFUMOZ|AFUN021858	18	92	PF02244.20	Propep_M14	Carboxypeptidase activation peptide	0	73	1.2e-20	60.7	OG6100142
AnophelesgambiaePEST|AGAP001026	18	92	PF02244.20	Propep_M14	Carboxypeptidase activation peptide	0	73	1.5e-21	63.6	OG6100142
AnophelesalbimanusSTECLA|AALB003288	77	373	PF00291.29	PALP	Pyridoxal-phosphate dependent enzyme	1	295	2.1e-76	245.4	OG6100154
AnophelesatroparvusEBRO|AATE010719	101	397	PF00291.29	PALP	Pyridoxal-phosphate dependent enzyme	1	295	1.6000000000000001e-74	239.2	OG6100154
AnophelesfunestusFUMOZ|AFUN002158	70	366	PF00291.29	PALP	Pyridoxal-phosphate dependent enzyme	1	295	7.6e-76	243.6	OG6100154
AnophelesgambiaePEST|AGAP000162	70	366	PF00291.29	PALP	Pyridoxal-phosphate dependent enzyme	1	295	1.0000000000000001e-75	242.4	OG6100154
AnophelesalbimanusSTECLA|AALB003288	411	462	PF00571.32	CBS	CBS domain	3	54	1.5e-10	29.8	OG6100154
AnophelesatroparvusEBRO|AATE010719	434	472	PF00571.32	CBS	CBS domain	2	40	1.2e-09	27.0	OG6100154
AnophelesfunestusFUMOZ|AFUN002158	405	456	PF00571.32	CBS	CBS domain	4	55	7.4e-13	37.2	OG6100154
AnophelesgambiaePEST|AGAP000162	405	456	PF00571.32	CBS	CBS domain	4	55	4.1e-12	34.2	OG6100154
AnophelesatroparvusEBRO|AATE010719	18	52	PF11883.12	DUF3403	Domain of unknown function (DUF3403)	3	36	7e-07	17.9	OG6100154
AnophelesalbimanusSTECLA|AALB003288	12	27	PF19335.3	HMBD	Heavy metal binding domain	3	18	2.9e-05	12.5	OG6100154
AnophelesfunestusFUMOZ|AFUN006855	145	306	PF05380.17	Peptidase_A17	Pao retrotransposon peptidase	0	162	1.9e-49	156.2	OG6100159
AnophelesgambiaePEST|AGAP029438	1128	1293	PF05380.17	Peptidase_A17	Pao retrotransposon peptidase	0	162	1.9999999999999998e-50	160.5	OG6100159
AnophelesfunestusFUMOZ|AFUN005680	111	171	PF18701.5	DUF5641	Family of unknown function (DUF5641)	1	61	1.2e-20	59.9	OG6100159
AnophelesfunestusFUMOZ|AFUN006855	810	903	PF18701.5	DUF5641	Family of unknown function (DUF5641)	1	94	1.8e-30	93.6	OG6100159
AnophelesgambiaePEST|AGAP029438	1799	1891	PF18701.5	DUF5641	Family of unknown function (DUF5641)	1	94	3.4e-26	81.0	OG6100159
AnophelesfunestusFUMOZ|AFUN011990	113	201	PF03564.19	DUF1759	Protein of unknown function (DUF1759)	13	105	1.9e-09	27.8	OG6100159
AnophelesfunestusFUMOZ|AFUN019801	144	291	PF03564.19	DUF1759	Protein of unknown function (DUF1759)	0	147	6.6e-40	123.6	OG6100159
AnophelesgambiaePEST|AGAP029438	279	422	PF03564.19	DUF1759	Protein of unknown function (DUF1759)	0	144	2.6e-13	39.7	OG6100159
AnophelesfunestusFUMOZ|AFUN006855	535	581	PF17921.5	Integrase_H2C2	Integrase zinc binding domain	9	56	2.9e-10	28.7	OG6100159
AnophelesfunestusFUMOZ|AFUN007000	307	361	PF17921.5	Integrase_H2C2	Integrase zinc binding domain	3	58	5.1e-13	36.8	OG6100159
AnophelesgambiaePEST|AGAP029438	1527	1576	PF17921.5	Integrase_H2C2	Integrase zinc binding domain	7	57	5.8e-09	25.6	OG6100159
AnophelesfunestusFUMOZ|AFUN006855	2	78	PF05585.16	DUF1758	Putative peptidase (DUF1758)	81	155	6.7e-07	17.7	OG6100159
AnophelesgambiaePEST|AGAP029438	606	753	PF05585.16	DUF1758	Putative peptidase (DUF1758)	8	156	7.9e-06	15.3	OG6100159
AnophelesgambiaePEST|AGAP029438	941	1057	PF00078.31	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)	63	181	3.7e-09	26.1	OG6100159
AnophelesfunestusFUMOZ|AFUN007000	382	446	PF17611.6	DUF5506	Family of unknown function (DUF5506)	19	82	2.5e-07	18.4	OG6100159
AnophelesfunestusFUMOZ|AFUN006855	416	448	PF08025.15	Antimicrobial_3	Spider antimicrobial peptide	1	32	5.2e-05	11.7	OG6100159
AnophelesgambiaePEST|AGAP029438	1394	1420	PF14777.10	BBIP10	Cilia BBSome complex subunit 10	30	56	0.0041	6.4	OG6100159
AnophelesalbimanusSTECLA|AALB006850	55	398	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	349	8.4e-69	221.0	OG6100167
AnophelesalbimanusSTECLA|AALB006851	51	396	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	350	4.4e-45	142.5	OG6100167
AnophelesatroparvusEBRO|AATE006999	55	398	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	348	2.8e-49	156.6	OG6100167
AnophelesatroparvusEBRO|AATE008174	15	132	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	94	1.2e-14	40.2	OG6100167
AnophelesatroparvusEBRO|AATE013357	4	197	PF01094.32	ANF_receptor	Receptor family ligand binding region	161	349	4.1e-37	116.3	OG6100167
AnophelesatroparvusEBRO|AATE019981	84	429	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	350	1.9e-44	140.1	OG6100167
AnophelesfunestusFUMOZ|AFUN006222	49	394	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	350	6.4e-45	142.0	OG6100167
AnophelesfunestusFUMOZ|AFUN020070	52	395	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	349	9.1e-70	223.7	OG6100167
AnophelesfunestusFUMOZ|AFUN020236	62	405	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	348	1.1e-49	157.9	OG6100167
AnophelesgambiaePEST|AGAP000798	51	394	PF01094.32	ANF_receptor	Receptor family ligand binding region	1	348	1.4e-47	151.2	OG6100167
AnophelesgambiaePEST|AGAP000801	46	391	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	349	1.1e-68	220.4	OG6100167
AnophelesgambiaePEST|AGAP000803	50	395	PF01094.32	ANF_receptor	Receptor family ligand binding region	2	350	2.5e-44	140.0	OG6100167
AnophelesalbimanusSTECLA|AALB006850	1550	1827	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	7.799999999999999e-46	144.4	OG6100167
AnophelesalbimanusSTECLA|AALB006851	562	844	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	2.6e-50	158.5	OG6100167
AnophelesatroparvusEBRO|AATE006999	564	841	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	5.7e-48	151.2	OG6100167
AnophelesatroparvusEBRO|AATE008487	0	206	PF00060.30	Lig_chan	Ligand-gated ion channel	69	146	2.3000000000000002e-30	92.5	OG6100167
AnophelesatroparvusEBRO|AATE013357	361	431	PF00060.30	Lig_chan	Ligand-gated ion channel	0	64	2e-19	58.3	OG6100167
AnophelesatroparvusEBRO|AATE019981	595	876	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	3.8e-49	154.4	OG6100167
AnophelesfunestusFUMOZ|AFUN006222	560	839	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	6.7e-50	157.2	OG6100167
AnophelesfunestusFUMOZ|AFUN020070	559	840	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	9.2e-56	176.2	OG6100167
AnophelesfunestusFUMOZ|AFUN020236	571	848	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	1.0999999999999999e-47	150.3	OG6100167
AnophelesgambiaePEST|AGAP000798	560	837	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	2.0999999999999998e-47	149.5	OG6100167
AnophelesgambiaePEST|AGAP000801	555	836	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	5.700000000000001e-57	180.3	OG6100167
AnophelesgambiaePEST|AGAP000803	561	840	PF00060.30	Lig_chan	Ligand-gated ion channel	0	146	1.2e-49	156.3	OG6100167
AnophelesgambiaePEST|AGAP000801	843	888	PF09191.14	CD4-extracel	CD4, extracellular	43	89	4.4e-05	12.6	OG6100167
AnophelesalbimanusSTECLA|AALB006850	1232	1254	PF12189.12	VirE1	Single-strand DNA-binding protein	27	50	0.007	5.4	OG6100167
AnophelesalbimanusSTECLA|AALB006375	470	602	PF00852.23	Glyco_transf_10	Glycosyltransferase family 10 (fucosyltransferase) C-term	42	182	6.7e-47	148.6	OG6100170
AnophelesfunestusFUMOZ|AFUN020940	217	392	PF00852.23	Glyco_transf_10	Glycosyltransferase family 10 (fucosyltransferase) C-term	1	182	2.5e-61	194.2	OG6100170
AnophelesgambiaePEST|AGAP000365	216	391	PF00852.23	Glyco_transf_10	Glycosyltransferase family 10 (fucosyltransferase) C-term	1	182	1.8e-61	195.1	OG6100170
AnophelesalbimanusSTECLA|AALB006375	309	425	PF17039.9	Glyco_tran_10_N	Fucosyltransferase, N-terminal	2	108	1.3999999999999999e-24	75.8	OG6100170
AnophelesfunestusFUMOZ|AFUN020940	64	181	PF17039.9	Glyco_tran_10_N	Fucosyltransferase, N-terminal	1	108	5.8e-27	82.1	OG6100170
AnophelesgambiaePEST|AGAP000365	63	180	PF17039.9	Glyco_tran_10_N	Fucosyltransferase, N-terminal	1	108	9.3e-28	85.1	OG6100170
AnophelesalbimanusSTECLA|AALB006375	197	263	PF21701.1	GLOD4_C	Glyoxalasedomain-containing protein 4-like, C-terminal domain	0	66	2.7e-33	103.1	OG6100170
AnophelesalbimanusSTECLA|AALB006375	6	99	PF00903.29	Glyoxalase	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	2	87	5.4e-08	22.4	OG6100170
AnophelesatroparvusEBRO|AATE002631	681	939	PF07714.21	PK_Tyr_Ser-Thr	Protein tyrosine and serine/threonine kinase	1	258	9e-101	327.2	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	697	955	PF07714.21	PK_Tyr_Ser-Thr	Protein tyrosine and serine/threonine kinase	1	258	6.3e-101	327.2	OG6100189
AnophelesgambiaePEST|AGAP000489	708	966	PF07714.21	PK_Tyr_Ser-Thr	Protein tyrosine and serine/threonine kinase	1	258	5.9e-101	327.2	OG6100189
AnophelesalbimanusSTECLA|AALB015768	26	203	PF01404.23	Ephrin_lbd	Ephrin receptor ligand binding domain	0	176	2.2e-56	179.4	OG6100189
AnophelesatroparvusEBRO|AATE002631	25	202	PF01404.23	Ephrin_lbd	Ephrin receptor ligand binding domain	0	176	2e-55	178.4	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	25	202	PF01404.23	Ephrin_lbd	Ephrin receptor ligand binding domain	0	176	1.4e-55	178.4	OG6100189
AnophelesgambiaePEST|AGAP000489	25	202	PF01404.23	Ephrin_lbd	Ephrin receptor ligand binding domain	0	176	1.3e-55	178.3	OG6100189
AnophelesalbimanusSTECLA|AALB015768	597	693	PF14575.10	EphA2_TM	Ephrin type-A receptor 2 transmembrane domain	3	73	1.6e-20	62.4	OG6100189
AnophelesatroparvusEBRO|AATE002631	598	678	PF14575.10	EphA2_TM	Ephrin type-A receptor 2 transmembrane domain	3	73	3.9e-21	66.4	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	598	694	PF14575.10	EphA2_TM	Ephrin type-A receptor 2 transmembrane domain	3	73	8.4e-20	61.7	OG6100189
AnophelesgambiaePEST|AGAP000489	610	705	PF14575.10	EphA2_TM	Ephrin type-A receptor 2 transmembrane domain	4	73	4.6e-20	62.4	OG6100189
AnophelesatroparvusEBRO|AATE002631	1083	1138	PF00536.34	SAM_1	SAM domain (Sterile alpha motif)	8	62	3.1e-19	60.1	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	1084	1140	PF00536.34	SAM_1	SAM domain (Sterile alpha motif)	7	62	2e-19	60.2	OG6100189
AnophelesgambiaePEST|AGAP000489	1107	1163	PF00536.34	SAM_1	SAM domain (Sterile alpha motif)	7	62	1.8e-19	60.1	OG6100189
AnophelesalbimanusSTECLA|AALB015768	487	571	PF00041.25	fn3	Fibronectin type III domain	1	85	4.9e-15	44.4	OG6100189
AnophelesatroparvusEBRO|AATE002631	488	572	PF00041.25	fn3	Fibronectin type III domain	1	85	2.8e-12	37.7	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	488	572	PF00041.25	fn3	Fibronectin type III domain	1	85	7.6e-13	39.0	OG6100189
AnophelesgambiaePEST|AGAP000489	499	583	PF00041.25	fn3	Fibronectin type III domain	1	85	1.3e-13	41.3	OG6100189
AnophelesalbimanusSTECLA|AALB015768	332	414	PF16656.9	Pur_ac_phosph_N	Purple acid Phosphatase, N-terminal domain	1	82	5.2e-07	19.0	OG6100189
AnophelesatroparvusEBRO|AATE002631	330	414	PF16656.9	Pur_ac_phosph_N	Purple acid Phosphatase, N-terminal domain	0	83	1.9e-07	22.5	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	330	413	PF16656.9	Pur_ac_phosph_N	Purple acid Phosphatase, N-terminal domain	0	82	3.4e-07	21.2	OG6100189
AnophelesgambiaePEST|AGAP000489	330	413	PF16656.9	Pur_ac_phosph_N	Purple acid Phosphatase, N-terminal domain	0	82	3.3e-07	21.1	OG6100189
AnophelesalbimanusSTECLA|AALB015768	267	304	PF07699.17	Ephrin_rec_like	Tyrosine-protein kinase ephrin type A/B receptor-like	4	42	2.3e-06	16.1	OG6100189
AnophelesatroparvusEBRO|AATE002631	266	303	PF07699.17	Ephrin_rec_like	Tyrosine-protein kinase ephrin type A/B receptor-like	4	42	2.5e-06	18.1	OG6100189
AnophelesfunestusFUMOZ|AFUN020655	267	303	PF07699.17	Ephrin_rec_like	Tyrosine-protein kinase ephrin type A/B receptor-like	5	42	1.7e-06	18.2	OG6100189
AnophelesgambiaePEST|AGAP000489	266	303	PF07699.17	Ephrin_rec_like	Tyrosine-protein kinase ephrin type A/B receptor-like	4	42	1.2e-06	18.5	OG6100189
AnophelesalbimanusSTECLA|AALB006765	78	543	PF00232.22	Glyco_hydro_1	Glycosyl hydrolase family 1	2	451	6.2999999999999995e-143	462.5	OG6100193
AnophelesatroparvusEBRO|AATE005308	80	546	PF00232.22	Glyco_hydro_1	Glycosyl hydrolase family 1	1	451	3.2e-149	484.2	OG6100193
