# Species	Genes	Alg.-Conn.	AnophelesalbimanusSTECLA.faa	AnophelesatroparvusEBRO.faa	AnophelesfunestusFUMOZ.faa	AnophelesgambiaePEST.faa
4	4	0.332	AnophelesalbimanusSTECLA|AALB006277	AnophelesatroparvusEBRO|AATE020014	AnophelesfunestusFUMOZ|AFUN011451	AnophelesgambiaePEST|AGAP000678
4	4	0.332	AnophelesalbimanusSTECLA|AALB006278	AnophelesatroparvusEBRO|AATE018866	AnophelesfunestusFUMOZ|AFUN021151	AnophelesgambiaePEST|AGAP029604
4	4	0.332	AnophelesalbimanusSTECLA|AALB006283	AnophelesatroparvusEBRO|AATE017957	AnophelesfunestusFUMOZ|AFUN002142	AnophelesgambiaePEST|AGAP000179
4	4	0.332	AnophelesalbimanusSTECLA|AALB006284	AnophelesatroparvusEBRO|AATE017716	AnophelesfunestusFUMOZ|AFUN002141	AnophelesgambiaePEST|AGAP000180
4	4	0.332	AnophelesalbimanusSTECLA|AALB006285	AnophelesatroparvusEBRO|AATE020775	AnophelesfunestusFUMOZ|AFUN002140	AnophelesgambiaePEST|AGAP000181
4	4	0.332	AnophelesalbimanusSTECLA|AALB006286	AnophelesatroparvusEBRO|AATE012360	AnophelesfunestusFUMOZ|AFUN002139	AnophelesgambiaePEST|AGAP000182
4	4	0.332	AnophelesalbimanusSTECLA|AALB006287	AnophelesatroparvusEBRO|AATE000629	AnophelesfunestusFUMOZ|AFUN002138	AnophelesgambiaePEST|AGAP000183
4	4	0.332	AnophelesalbimanusSTECLA|AALB006288	AnophelesatroparvusEBRO|AATE014702	AnophelesfunestusFUMOZ|AFUN002137	AnophelesgambiaePEST|AGAP000184
4	4	0.332	AnophelesalbimanusSTECLA|AALB006290	AnophelesatroparvusEBRO|AATE004796	AnophelesfunestusFUMOZ|AFUN005591	AnophelesgambiaePEST|AGAP000763
4	4	0.332	AnophelesalbimanusSTECLA|AALB006292	AnophelesatroparvusEBRO|AATE009209	AnophelesfunestusFUMOZ|AFUN002847	AnophelesgambiaePEST|AGAP000523
4	4	0.332	AnophelesalbimanusSTECLA|AALB006294	AnophelesatroparvusEBRO|AATE017741	AnophelesfunestusFUMOZ|AFUN016213	AnophelesgambiaePEST|AGAP000882
4	4	0.332	AnophelesalbimanusSTECLA|AALB006295	AnophelesatroparvusEBRO|AATE011973	AnophelesfunestusFUMOZ|AFUN002134	AnophelesgambiaePEST|AGAP000188
4	4	0.332	AnophelesalbimanusSTECLA|AALB006299	AnophelesatroparvusEBRO|AATE009197	AnophelesfunestusFUMOZ|AFUN010417	AnophelesgambiaePEST|AGAP001068
4	4	0.332	AnophelesalbimanusSTECLA|AALB006300	AnophelesatroparvusEBRO|AATE006413	AnophelesfunestusFUMOZ|AFUN011475	AnophelesgambiaePEST|AGAP000700
4	4	0.332	AnophelesalbimanusSTECLA|AALB006303	AnophelesatroparvusEBRO|AATE013006	AnophelesfunestusFUMOZ|AFUN020527	AnophelesgambiaePEST|AGAP000703
4	4	0.332	AnophelesalbimanusSTECLA|AALB006304	AnophelesatroparvusEBRO|AATE016644	AnophelesfunestusFUMOZ|AFUN011479	AnophelesgambiaePEST|AGAP000879
4	4	0.332	AnophelesalbimanusSTECLA|AALB006307	AnophelesatroparvusEBRO|AATE018985	AnophelesfunestusFUMOZ|AFUN010395	AnophelesgambiaePEST|AGAP000116
4	4	0.332	AnophelesalbimanusSTECLA|AALB006308	AnophelesatroparvusEBRO|AATE017417	AnophelesfunestusFUMOZ|AFUN006962	AnophelesgambiaePEST|AGAP000973
4	4	0.332	AnophelesalbimanusSTECLA|AALB006309	AnophelesatroparvusEBRO|AATE018643	AnophelesfunestusFUMOZ|AFUN006961	AnophelesgambiaePEST|AGAP000971
4	4	0.332	AnophelesalbimanusSTECLA|AALB006310	AnophelesatroparvusEBRO|AATE017578	AnophelesfunestusFUMOZ|AFUN020185	AnophelesgambiaePEST|AGAP000970
4	4	0.332	AnophelesalbimanusSTECLA|AALB006311	AnophelesatroparvusEBRO|AATE013002	AnophelesfunestusFUMOZ|AFUN019858	AnophelesgambiaePEST|AGAP000969
4	4	0.332	AnophelesalbimanusSTECLA|AALB006312	AnophelesatroparvusEBRO|AATE000795	AnophelesfunestusFUMOZ|AFUN005574	AnophelesgambiaePEST|AGAP000968
4	4	0.332	AnophelesalbimanusSTECLA|AALB006316	AnophelesatroparvusEBRO|AATE014587	AnophelesfunestusFUMOZ|AFUN010345	AnophelesgambiaePEST|AGAP001048
4	4	0.332	AnophelesalbimanusSTECLA|AALB006320	AnophelesatroparvusEBRO|AATE015784	AnophelesfunestusFUMOZ|AFUN007338	AnophelesgambiaePEST|AGAP013049
4	4	0.332	AnophelesalbimanusSTECLA|AALB006321	AnophelesatroparvusEBRO|AATE000623	AnophelesfunestusFUMOZ|AFUN003870	AnophelesgambiaePEST|AGAP000983
4	4	0.332	AnophelesalbimanusSTECLA|AALB006324	AnophelesatroparvusEBRO|AATE018478	AnophelesfunestusFUMOZ|AFUN000701	AnophelesgambiaePEST|AGAP000727
4	4	0.332	AnophelesalbimanusSTECLA|AALB006330	AnophelesatroparvusEBRO|AATE009876	AnophelesfunestusFUMOZ|AFUN007288	AnophelesgambiaePEST|AGAP000891
4	4	0.332	AnophelesalbimanusSTECLA|AALB006331	AnophelesatroparvusEBRO|AATE004539	AnophelesfunestusFUMOZ|AFUN007289	AnophelesgambiaePEST|AGAP000890
4	4	0.332	AnophelesalbimanusSTECLA|AALB006333	AnophelesatroparvusEBRO|AATE016980	AnophelesfunestusFUMOZ|AFUN008148	AnophelesgambiaePEST|AGAP000755
4	4	0.332	AnophelesalbimanusSTECLA|AALB006335	AnophelesatroparvusEBRO|AATE002911	AnophelesfunestusFUMOZ|AFUN008149	AnophelesgambiaePEST|AGAP000756
4	4	0.332	AnophelesalbimanusSTECLA|AALB006337	AnophelesatroparvusEBRO|AATE017789	AnophelesfunestusFUMOZ|AFUN007292	AnophelesgambiaePEST|AGAP000887
4	4	0.332	AnophelesalbimanusSTECLA|AALB006338	AnophelesatroparvusEBRO|AATE003308	AnophelesfunestusFUMOZ|AFUN002252	AnophelesgambiaePEST|AGAP000901
4	4	0.332	AnophelesalbimanusSTECLA|AALB006339	AnophelesatroparvusEBRO|AATE005345	AnophelesfunestusFUMOZ|AFUN002253	AnophelesgambiaePEST|AGAP000900
4	4	0.332	AnophelesalbimanusSTECLA|AALB006342	AnophelesatroparvusEBRO|AATE007772	AnophelesfunestusFUMOZ|AFUN011579	AnophelesgambiaePEST|AGAP000057
4	4	0.332	AnophelesalbimanusSTECLA|AALB006344	AnophelesatroparvusEBRO|AATE000873	AnophelesfunestusFUMOZ|AFUN021092	AnophelesgambiaePEST|AGAP000097
4	4	0.332	AnophelesalbimanusSTECLA|AALB006345	AnophelesatroparvusEBRO|AATE018199	AnophelesfunestusFUMOZ|AFUN021093	AnophelesgambiaePEST|AGAP000098
4	4	0.332	AnophelesalbimanusSTECLA|AALB006346	AnophelesatroparvusEBRO|AATE011504	AnophelesfunestusFUMOZ|AFUN016607	AnophelesgambiaePEST|AGAP000099
4	4	0.332	AnophelesalbimanusSTECLA|AALB006353	AnophelesatroparvusEBRO|AATE009201	AnophelesfunestusFUMOZ|AFUN011576	AnophelesgambiaePEST|AGAP000062
4	4	0.332	AnophelesalbimanusSTECLA|AALB006355	AnophelesatroparvusEBRO|AATE010761	AnophelesfunestusFUMOZ|AFUN011574	AnophelesgambiaePEST|AGAP000064
4	4	0.332	AnophelesalbimanusSTECLA|AALB006361	AnophelesatroparvusEBRO|AATE007676	AnophelesfunestusFUMOZ|AFUN006236	AnophelesgambiaePEST|AGAP000792
4	4	0.332	AnophelesalbimanusSTECLA|AALB006363	AnophelesatroparvusEBRO|AATE018218	AnophelesfunestusFUMOZ|AFUN006235	AnophelesgambiaePEST|AGAP000794
4	4	0.332	AnophelesalbimanusSTECLA|AALB006364	AnophelesatroparvusEBRO|AATE002683	AnophelesfunestusFUMOZ|AFUN008061	AnophelesgambiaePEST|AGAP001038
4	4	0.332	AnophelesalbimanusSTECLA|AALB006365	AnophelesatroparvusEBRO|AATE009927	AnophelesfunestusFUMOZ|AFUN015739	AnophelesgambiaePEST|AGAP001039
4	4	0.332	AnophelesalbimanusSTECLA|AALB006366	AnophelesatroparvusEBRO|AATE012633	AnophelesfunestusFUMOZ|AFUN000244	AnophelesgambiaePEST|AGAP000864
4	4	0.332	AnophelesalbimanusSTECLA|AALB006367	AnophelesatroparvusEBRO|AATE011998	AnophelesfunestusFUMOZ|AFUN020135	AnophelesgambiaePEST|AGAP000865
4	4	0.332	AnophelesalbimanusSTECLA|AALB006368	AnophelesatroparvusEBRO|AATE002145	AnophelesfunestusFUMOZ|AFUN000269	AnophelesgambiaePEST|AGAP000357
4	4	0.332	AnophelesalbimanusSTECLA|AALB006369	AnophelesatroparvusEBRO|AATE003451	AnophelesfunestusFUMOZ|AFUN000268	AnophelesgambiaePEST|AGAP000356
4	4	0.332	AnophelesalbimanusSTECLA|AALB006370	AnophelesatroparvusEBRO|AATE013994	AnophelesfunestusFUMOZ|AFUN000271	AnophelesgambiaePEST|AGAP000359
4	4	0.332	AnophelesalbimanusSTECLA|AALB006371	AnophelesatroparvusEBRO|AATE020761	AnophelesfunestusFUMOZ|AFUN020496	AnophelesgambiaePEST|AGAP000360
4	4	0.332	AnophelesalbimanusSTECLA|AALB006372	AnophelesatroparvusEBRO|AATE016730	AnophelesfunestusFUMOZ|AFUN000270	AnophelesgambiaePEST|AGAP000358
4	4	0.332	AnophelesalbimanusSTECLA|AALB006373	AnophelesatroparvusEBRO|AATE007406	AnophelesfunestusFUMOZ|AFUN000267	AnophelesgambiaePEST|AGAP000355
4	4	0.332	AnophelesalbimanusSTECLA|AALB006374	AnophelesatroparvusEBRO|AATE005236	AnophelesfunestusFUMOZ|AFUN010432	AnophelesgambiaePEST|AGAP000662
4	4	0.332	AnophelesalbimanusSTECLA|AALB006377	AnophelesatroparvusEBRO|AATE007854	AnophelesfunestusFUMOZ|AFUN000273	AnophelesgambiaePEST|AGAP000361
4	4	0.332	AnophelesalbimanusSTECLA|AALB006380	AnophelesatroparvusEBRO|AATE013897	AnophelesfunestusFUMOZ|AFUN010426	AnophelesgambiaePEST|AGAP001092
4	4	0.332	AnophelesalbimanusSTECLA|AALB006381	AnophelesatroparvusEBRO|AATE005137	AnophelesfunestusFUMOZ|AFUN005575	AnophelesgambiaePEST|AGAP000967
4	4	0.332	AnophelesalbimanusSTECLA|AALB006382	AnophelesatroparvusEBRO|AATE000460	AnophelesfunestusFUMOZ|AFUN005576	AnophelesgambiaePEST|AGAP000966
4	4	0.332	AnophelesalbimanusSTECLA|AALB006383	AnophelesatroparvusEBRO|AATE003568	AnophelesfunestusFUMOZ|AFUN005577	AnophelesgambiaePEST|AGAP000965
4	4	0.332	AnophelesalbimanusSTECLA|AALB006384	AnophelesatroparvusEBRO|AATE011572	AnophelesfunestusFUMOZ|AFUN005578	AnophelesgambiaePEST|AGAP000964
4	4	0.332	AnophelesalbimanusSTECLA|AALB006388	AnophelesatroparvusEBRO|AATE012318	AnophelesfunestusFUMOZ|AFUN000712	AnophelesgambiaePEST|AGAP000715
4	4	0.332	AnophelesalbimanusSTECLA|AALB006392	AnophelesatroparvusEBRO|AATE000443	AnophelesfunestusFUMOZ|AFUN005708	AnophelesgambiaePEST|AGAP000815
4	4	0.332	AnophelesalbimanusSTECLA|AALB006395	AnophelesatroparvusEBRO|AATE017475	AnophelesfunestusFUMOZ|AFUN006061	AnophelesgambiaePEST|AGAP000938
4	4	0.332	AnophelesalbimanusSTECLA|AALB006400	AnophelesatroparvusEBRO|AATE013648	AnophelesfunestusFUMOZ|AFUN020008	AnophelesgambiaePEST|AGAP000351
4	4	0.332	AnophelesalbimanusSTECLA|AALB006404	AnophelesatroparvusEBRO|AATE018726	AnophelesfunestusFUMOZ|AFUN008418	AnophelesgambiaePEST|AGAP000348
4	4	0.332	AnophelesalbimanusSTECLA|AALB006405	AnophelesatroparvusEBRO|AATE013285	AnophelesfunestusFUMOZ|AFUN008419	AnophelesgambiaePEST|AGAP000347
4	4	0.332	AnophelesalbimanusSTECLA|AALB006408	AnophelesatroparvusEBRO|AATE012091	AnophelesfunestusFUMOZ|AFUN019930	AnophelesgambiaePEST|AGAP000345
4	4	0.332	AnophelesalbimanusSTECLA|AALB006409	AnophelesatroparvusEBRO|AATE011187	AnophelesfunestusFUMOZ|AFUN003859	AnophelesgambiaePEST|AGAP000344
4	4	0.332	AnophelesalbimanusSTECLA|AALB006410	AnophelesatroparvusEBRO|AATE006470	AnophelesfunestusFUMOZ|AFUN003860	AnophelesgambiaePEST|AGAP013476
4	4	0.332	AnophelesalbimanusSTECLA|AALB006412	AnophelesatroparvusEBRO|AATE010720	AnophelesfunestusFUMOZ|AFUN005714	AnophelesgambiaePEST|AGAP000285
4	4	0.332	AnophelesalbimanusSTECLA|AALB006413	AnophelesatroparvusEBRO|AATE018213	AnophelesfunestusFUMOZ|AFUN005716	AnophelesgambiaePEST|AGAP000283
4	4	0.332	AnophelesalbimanusSTECLA|AALB006416	AnophelesatroparvusEBRO|AATE014122	AnophelesfunestusFUMOZ|AFUN007336	AnophelesgambiaePEST|AGAP000308
4	4	0.332	AnophelesalbimanusSTECLA|AALB006417	AnophelesatroparvusEBRO|AATE012817	AnophelesfunestusFUMOZ|AFUN005709	AnophelesgambiaePEST|AGAP000814
4	4	0.332	AnophelesalbimanusSTECLA|AALB006418	AnophelesatroparvusEBRO|AATE018444	AnophelesfunestusFUMOZ|AFUN005711	AnophelesgambiaePEST|AGAP000812
4	4	0.332	AnophelesalbimanusSTECLA|AALB006419	AnophelesatroparvusEBRO|AATE015925	AnophelesfunestusFUMOZ|AFUN010402	AnophelesgambiaePEST|AGAP000123
4	4	0.332	AnophelesalbimanusSTECLA|AALB006423	AnophelesatroparvusEBRO|AATE013188	AnophelesfunestusFUMOZ|AFUN021599	AnophelesgambiaePEST|AGAP000273
4	4	0.332	AnophelesalbimanusSTECLA|AALB006425	AnophelesatroparvusEBRO|AATE011261	AnophelesfunestusFUMOZ|AFUN005720	AnophelesgambiaePEST|AGAP000277
4	4	0.332	AnophelesalbimanusSTECLA|AALB006426	AnophelesatroparvusEBRO|AATE021192	AnophelesfunestusFUMOZ|AFUN016175	AnophelesgambiaePEST|AGAP000278
4	4	0.332	AnophelesalbimanusSTECLA|AALB006427	AnophelesatroparvusEBRO|AATE018661	AnophelesfunestusFUMOZ|AFUN005718	AnophelesgambiaePEST|AGAP000280
4	4	0.332	AnophelesalbimanusSTECLA|AALB006434	AnophelesatroparvusEBRO|AATE017590	AnophelesfunestusFUMOZ|AFUN007561	AnophelesgambiaePEST|AGAP000832
4	4	0.332	AnophelesalbimanusSTECLA|AALB006435	AnophelesatroparvusEBRO|AATE003821	AnophelesfunestusFUMOZ|AFUN007562	AnophelesgambiaePEST|AGAP000833
4	4	0.332	AnophelesalbimanusSTECLA|AALB006436	AnophelesatroparvusEBRO|AATE015705	AnophelesfunestusFUMOZ|AFUN007563	AnophelesgambiaePEST|AGAP000834
4	4	0.332	AnophelesalbimanusSTECLA|AALB006437	AnophelesatroparvusEBRO|AATE020940	AnophelesfunestusFUMOZ|AFUN021375	AnophelesgambiaePEST|AGAP000338
4	4	0.332	AnophelesalbimanusSTECLA|AALB006439	AnophelesatroparvusEBRO|AATE015551	AnophelesfunestusFUMOZ|AFUN003543	AnophelesgambiaePEST|AGAP000549
4	4	0.332	AnophelesalbimanusSTECLA|AALB006441	AnophelesatroparvusEBRO|AATE016512	AnophelesfunestusFUMOZ|AFUN020214	AnophelesgambiaePEST|AGAP000368
4	4	0.332	AnophelesalbimanusSTECLA|AALB006444	AnophelesatroparvusEBRO|AATE015377	AnophelesfunestusFUMOZ|AFUN005608	AnophelesgambiaePEST|AGAP000539
4	4	0.332	AnophelesalbimanusSTECLA|AALB006447	AnophelesatroparvusEBRO|AATE003261	AnophelesfunestusFUMOZ|AFUN000210	AnophelesgambiaePEST|AGAP000016
4	4	0.332	AnophelesalbimanusSTECLA|AALB006448	AnophelesatroparvusEBRO|AATE003174	AnophelesfunestusFUMOZ|AFUN000211	AnophelesgambiaePEST|AGAP000015
4	4	0.332	AnophelesalbimanusSTECLA|AALB006452	AnophelesatroparvusEBRO|AATE009356	AnophelesfunestusFUMOZ|AFUN000216	AnophelesgambiaePEST|AGAP000625
4	4	0.332	AnophelesalbimanusSTECLA|AALB006453	AnophelesatroparvusEBRO|AATE019006	AnophelesfunestusFUMOZ|AFUN000217	AnophelesgambiaePEST|AGAP000626
4	4	0.332	AnophelesalbimanusSTECLA|AALB006454	AnophelesatroparvusEBRO|AATE001371	AnophelesfunestusFUMOZ|AFUN002851	AnophelesgambiaePEST|AGAP000529
4	4	0.332	AnophelesalbimanusSTECLA|AALB006462	AnophelesatroparvusEBRO|AATE005030	AnophelesfunestusFUMOZ|AFUN006694	AnophelesgambiaePEST|AGAP000913
4	4	0.332	AnophelesalbimanusSTECLA|AALB006463	AnophelesatroparvusEBRO|AATE017381	AnophelesfunestusFUMOZ|AFUN020040	AnophelesgambiaePEST|AGAP029631
4	4	0.332	AnophelesalbimanusSTECLA|AALB006466	AnophelesatroparvusEBRO|AATE009380	AnophelesfunestusFUMOZ|AFUN006982	AnophelesgambiaePEST|AGAP000744
4	4	0.332	AnophelesalbimanusSTECLA|AALB006469	AnophelesatroparvusEBRO|AATE002246	AnophelesfunestusFUMOZ|AFUN020369	AnophelesgambiaePEST|AGAP000747
4	4	0.332	AnophelesalbimanusSTECLA|AALB006470	AnophelesatroparvusEBRO|AATE007338	AnophelesfunestusFUMOZ|AFUN007577	AnophelesgambiaePEST|AGAP000429
4	4	0.332	AnophelesalbimanusSTECLA|AALB006471	AnophelesatroparvusEBRO|AATE014806	AnophelesfunestusFUMOZ|AFUN020793	AnophelesgambiaePEST|AGAP000430
4	4	0.332	AnophelesalbimanusSTECLA|AALB006473	AnophelesatroparvusEBRO|AATE008187	AnophelesfunestusFUMOZ|AFUN008142	AnophelesgambiaePEST|AGAP000618
4	4	0.332	AnophelesalbimanusSTECLA|AALB006474	AnophelesatroparvusEBRO|AATE013049	AnophelesfunestusFUMOZ|AFUN006679	AnophelesgambiaePEST|AGAP000930
4	4	0.332	AnophelesalbimanusSTECLA|AALB006475	AnophelesatroparvusEBRO|AATE009337	AnophelesfunestusFUMOZ|AFUN008138	AnophelesgambiaePEST|AGAP000614
4	4	0.332	AnophelesalbimanusSTECLA|AALB006476	AnophelesatroparvusEBRO|AATE008898	AnophelesfunestusFUMOZ|AFUN006247	AnophelesgambiaePEST|AGAP000784
4	4	0.332	AnophelesalbimanusSTECLA|AALB006477	AnophelesatroparvusEBRO|AATE002243	AnophelesfunestusFUMOZ|AFUN006245	AnophelesgambiaePEST|AGAP000786
4	4	0.332	AnophelesalbimanusSTECLA|AALB006478	AnophelesatroparvusEBRO|AATE016662	AnophelesfunestusFUMOZ|AFUN006246	AnophelesgambiaePEST|AGAP000785
4	4	0.332	AnophelesalbimanusSTECLA|AALB006479	AnophelesatroparvusEBRO|AATE015928	AnophelesfunestusFUMOZ|AFUN010399	AnophelesgambiaePEST|AGAP000120
