OG6101257_39::h	OG6132656_476::t
OG6102059_66::h	OG6120817_382::h
OG6108971_320::h	OG6112323_351::h
OG6104100_146::h	OG6112849_357::t
OG6105533_223::h	OG6107739_288::h
OG6107739_288::t	OG6183803_569::h
OG6102757_88::h	OG6122578_394::h
OG6104432_168::h	OG6124464_419::h
OG6104879_191::h	OG6106541_255::h
OG6108569_312::h	OG6132655_475::t
OG6109618_333::h	OG6316286_588::t
OG6100957_29::h	OG6101766_60::h
OG6122647_400::h	OG6124443_417::t
OG6124464_419::t	OG6124464_420::h
OG6107399_277::t	OG6117820_375::h
OG6106616_261::h	OG6316406_594::h
OG6132657_477::h	OG6427661_597::t
OG6100445_8::h	OG6104182_151::h
OG6100998_31::h	OG6122693_402::t
OG6100220_2::t	OG6110158_339::h
OG6104562_179::h	OG6136702_497::h
OG6105713_228::h	OG6111046_344::t
OG6101944_64::h	OG6119325_380::h
OG6104098_145::h	OG6122646_399::h
OG6108499_311::h	OG6126667_450::h
OG6104017_136::h	OG6108589_316::h
OG6126587_440::t	OG6315967_586::h
OG6101731_58::h	OG6101731_59::h
OG6106571_258::h	OG6126667_450::t
OG6102317_72::h	OG6124219_407::t
OG6103982_129::h	OG6163783_560::t
OG6103663_120::t	OG6106742_263::h
OG6104823_190::h	OG6108101_304::h
OG6100894_24::h	OG6136685_494::h
OG6104434_169::h	OG6151237_537::h
OG6102890_94::h	OG6104525_175::h
OG6104478_172::h	OG6108585_314::h
OG6132586_472::t	OG6136695_496::h
OG6102655_85::h	OG6110740_341::h
OG6136563_492::t	OG6202131_578::h
OG6120953_386::h	OG6120953_386::t
OG6102830_90::h	OG6141940_511::h
OG6100878_22::h	OG6107046_270::h
OG6117926_378::h	OG6129046_456::h
OG6136534_489::t	OG6136563_492::h
OG6107391_276::h	OG6110753_342::h
OG6104373_165::t	OG6107930_297::h
OG6104189_153::h	OG6106240_245::h
OG6111864_348::t	OG6124468_421::h
OG6106435_250::h	OG6183306_565::h
OG6107244_274::h	OG6129000_454::h
OG6101423_44::h	OG6107413_278::t
OG6107917_296::h	OG6163186_550::h
OG6124322_409::h	OG6124484_422::h
OG6101603_52::h	OG6102624_82::h
OG6101039_32::h	OG6102674_87::h
OG6104247_159::h	OG6163540_556::h
OG6162719_542::t	OG6315421_579::h
OG6105968_237::t	OG6124421_414::h
OG6124172_403::h	OG6124431_416::h
OG6102656_86::h	OG6126604_442::t
OG6105629_226::h	OG6112361_352::t
OG6103618_118::h	OG6187221_576::t
OG6101684_57::h	OG6104359_164::t
OG6104643_184::t	OG6106611_260::h
OG6109017_321::t	OG6136605_493::h
OG6105362_212::h	OG6109243_328::h
OG6112839_355::h	OG6112839_356::t
OG6104373_165::h	OG6107727_287::h
OG6103264_107::h	OG6104190_154::h
OG6122582_395::t	OG6126605_443::h
OG6104525_175::t	OG6105514_221::h
OG6107540_281::h	OG6107540_283::t
OG6162667_541::t	OG6315797_582::h
OG6103965_128::h	OG6104071_142::h
OG6105324_208::h	OG6315912_584::t
OG6136448_487::t	OG6316332_591::h
OG6105774_233::h	OG6141940_511::t
OG6105874_235::h	OG6110158_339::t
OG6104030_139::h	OG6104215_156::t
OG6126654_446::h	OG6126654_447::t
OG6132704_480::h	OG6176107_564::t
OG6107564_284::t	OG6126475_435::h
OG6106124_241::h	OG6108764_318::h
OG6104507_174::h	OG6109711_335::h
OG6105713_229::h	OG6119485_381::h
OG6100515_10::h	t_601::o
OG6122523_391::h	OG6132724_484::h
OG6122583_396::h	OG6136748_499::h
OG6104021_137::h	OG6122624_397::h
OG6101650_54::h	OG6104715_185::h
OG6100923_27::t	OG6117759_372::h
OG6101047_34::h	OG6104823_190::t
OG6104403_167::t	OG6113230_358::h
OG6104216_157::t	OG6107366_275::h
OG6104609_183::t	OG6128920_452::h
OG6103598_117::h	OG6103598_117::t
OG6107975_301::t	OG6132655_474::h
OG6109246_329::t	OG6122518_390::h
OG6163646_558::h	OG6183607_568::t
OG6103099_100::h	OG6108102_305::t
OG6124219_407::h	OG6126582_439::t
OG6103473_113::h	OG6132709_481::h
OG6104527_176::h	OG6109712_336::h
OG6104215_156::h	OG6163797_561::t
OG6103663_120::h	OG6129296_464::h
OG6101143_35::h	OG6101423_44::t
OG6124484_422::t	OG6129286_463::h
OG6186994_575::t	OG6316299_589::h
OG6106586_259::h	OG6108363_310::h
OG6104147_149::h	OG6104541_178::h
OG6126654_447::h	OG6126654_448::t
OG6103473_113::t	OG6106318_247::h
OG6122692_401::t	OG6151243_538::h
OG6103480_114::h	OG6122637_398::t
OG6101919_62::h	OG6108171_308::t
OG6103218_104::h	OG6105865_234::t
OG6105414_216::h	OG6106132_242::t
OG6100653_17::h	OG6132723_483::h
OG6105040_195::h	OG6105527_222::h
OG6132656_476::h	OG6136685_494::t
OG6315469_580::t	OG6316334_592::h
OG6117798_373::h	OG6151341_539::t
OG6103992_132::h	OG6142321_517::t
OG6101456_47::h	OG6116713_370::h
OG6104887_192::h	OG6126624_445::t
OG6102621_81::h	OG6103519_116::h
OG6122582_395::h	OG6151004_531::h
OG6102427_76::h	OG6107023_268::h
OG6103358_110::h	OG6124179_404::h
OG6100626_15::t	OG6102242_70::h
OG6104306_161::h	OG6316440_595::t
OG6106561_257::h	OG6151144_535::h
OG6104460_171::h	OG6109902_337::h
OG6106249_246::h	OG6163747_559::h
OG6103261_106::h	OG6124443_417::h
OG6107740_289::h	OG6122637_398::h
OG6109177_323::h	OG6117798_373::t
OG6100524_11::h	OG6104250_160::h
OG6112839_356::h	OG6150675_524::h
OG6107931_298::t	OG6136448_487::h
OG6126402_429::h	OG6163044_546::h
OG6104535_177::t	OG6108692_317::h
OG6104432_168::t	OG6105234_205::h
OG6129000_454::t	OG6151074_532::h
OG6100435_7::h	OG6183605_567::h
OG6126529_437::h	OG6151205_536::h
OG6109218_326::t	OG6142273_515::h
OG6163821_562::t	OG6r15109501_600::h
OG6108295_309::h	OG6126313_426::h
OG6101938_63::t	OG6130014_467::h
OG6110776_343::h	t_602::o
OG6101497_48::h	OG6105368_214::t
OG6101045_33::h	OG6107975_301::h
OG6108144_307::h	OG6142325_518::t
OG6100896_26::h	OG6151205_536::t
OG6136523_488::h	OG6315912_584::h
OG6101156_36::h	OG6105450_219::t
OG6104448_170::h	OG6113402_360::h
OG6104079_143::t	OG6111483_347::h
OG6126664_449::h	OG6137881_505::t
OG6102830_90::t	OG6163447_555::h
OG6113230_358::t	OG6136764_501::h
OG6105363_213::h	OG6105564_225::t
OG6101502_49::h	OG6103504_115::h
OG6101596_51::h	OG6103326_108::t
OG6106904_265::h	OG6151004_531::t
OG6100894_23::h	OG6100894_24::t
OG6116556_368::h	OG6129118_459::h
OG6120961_387::h	OG6151124_534::t
OG6100189_1::h	OG6105449_218::t
OG6104033_140::h	OG6r15102977_598::h
OG6100923_27::h	OG6316316_590::h
OG6132704_480::t	OG6163097_548::h
OG6103264_107::t	OG6114651_363::h
OG6102384_73::h	OG6142327_519::t
OG6100391_6::h	OG6102986_97::h
OG6110471_340::h	OG6126602_441::h
OG6117846_376::h	OG6126587_440::h
OG6101731_59::t	OG6132586_472::h
OG6103955_127::h	OG6105169_202::t
OG6105319_207::h	OG6126401_428::t
OG6106917_266::h	OG6150846_527::t
OG6100679_19::h	OG6105449_218::h
OG6103812_124::h	OG6129057_457::t
OG6105083_199::h	OG6186989_574::h
OG6100338_5::h	OG6101039_32::t
OG6102303_71::h	OG6102957_96::h
OG6112753_354::t	OG6186994_575::h
OG6104310_162::h	OG6129296_464::t
OG6101413_42::h	OG6105349_210::t
OG6109920_338::h	OG6126499_436::h
OG6100626_15::h	OG6103381_112::t
OG6109275_330::t	OG6132719_482::h
OG6100220_2::h	OG6107969_300::h
OG6103652_119::h	OG6105865_234::h
OG6100674_18::h	OG6104399_166::t
OG6112361_352::h	OG6132342_470::t
OG6103257_105::t	OG6105117_200::h
OG6104898_193::t	OG6150894_529::h
OG6141871_508::h	OG6142480_522::t
OG6104898_193::h	OG6136534_489::h
OG6163747_559::t	OG6183365_566::h
OG6102836_91::t	OG6116556_367::h
OG6102019_65::t	OG6103166_103::h
OG6124202_406::h	OG6124330_410::t
OG6101650_54::t	OG6104802_189::h
OG6184039_572::h	OG6427661_597::h
OG6100262_4::t	OG6126551_438::h
OG6100154_0::t	OG6150892_528::h
OG6104725_186::h	OG6104725_186::t
OG6102757_88::t	OG6108574_313::h
OG6104979_194::h	OG6107969_300::t
OG6106904_265::t	OG6122504_389::h
OG6122692_401::h	OG6126269_423::t
OG6106420_249::h	OG6316332_591::t
OG6116713_370::t	OG6117755_371::h
OG6109218_326::h	OG6126439_431::h
OG6102882_93::h	OG6109487_332::t
OG6104480_173::t	OG6105044_196::h
OG6107540_281::t	OG6108171_308::h
OG6104329_163::h	OG6124383_413::h
OG6109017_321::h	OG6183803_569::t
OG6136765_502::h	OG6142255_514::t
OG6122559_392::h	OG6122559_393::t
OG6104403_167::h	OG6116553_366::t
OG6108585_314::t	OG6111930_349::h
OG6102385_74::h	OG6132639_473::h
OG6108096_303::h	OG6111864_348::h
OG6122559_393::h	OG6136748_499::t
OG6113954_361::h	OG6129286_463::t
OG6105450_219::h	OG6136691_495::t
OG6101604_53::h	OG6137882_506::h
OG6122693_402::h	OG6315469_580::h
OG6102503_78::h	OG6126604_442::h
OG6100445_8::t	OG6100445_9::h
OG6106611_260::t	OG6138134_507::h
OG6105354_211::h	OG6126269_423::h
OG6100262_4::h	OG6136811_504::h
OG6129193_460::h	OG6163379_553::t
OG6102557_79::h	OG6129035_455::t
OG6102427_76::t	OG6102427_77::h
OG6102317_72::t	OG6107978_302::h
OG6103381_112::h	OG6105234_205::t
OG6100154_0::h	OG6137881_505::h
OG6105997_239::h	OG6107955_299::h
OG6106710_262::h	OG6126499_436::t
OG6102794_89::h	OG6104306_161::t
OG6107413_278::h	OG6108587_315::t
OG6115555_365::t	OG6126460_433::h
OG6105874_235::t	OG6107764_292::h
OG6124172_403::t	OG6126300_424::h
OG6105739_231::h	OG6107914_295::h
OG6103997_133::h	OG6104033_140::t
OG6126401_428::h	OG6126402_429::t
OG6104609_180::t	OG6104609_182::h
OG6105564_225::h	OG6107917_296::t
OG6104216_157::h	OG6105715_230::h
OG6107023_268::t	OG6126375_427::h
OG6100896_25::h	OG6107806_293::h
OG6105759_232::h	OG6132342_470::h
OG6103034_99::t	OG6315700_581::h
OG6124185_405::t	OG6184055_573::h
OG6136691_495::h	OG6150675_524::t
OG6102794_89::t	OG6106875_264::h
OG6126471_434::h	OG6316345_593::h
OG6104137_148::h	OG6112839_355::t
OG6103747_121::h	OG6122647_400::t
OG6103519_116::t	OG6163079_547::h
OG6100445_9::t	OG6132482_471::h
OG6104212_155::h	OG6112753_353::h
OG6105053_197::h	OG6114651_363::t
OG6120961_387::t	OG6124338_411::h
OG6105169_202::h	OG6106249_246::t
OG6103504_115::t	OG6126582_439::h
OG6103218_104::t	OG6136555_491::h
OG6106472_252::h	OG6142421_521::t
OG6117934_379::h	OG6124202_406::t
OG6105368_214::h	OG6107931_298::h
OG6105514_221::t	OG6129298_465::h
OG6100986_30::t	OG6103326_108::h
OG6106235_243::t	OG6129035_455::h
OG6106318_247::t	OG6136806_503::h
OG6100598_14::t	OG6102422_75::h
OG6105414_216::t	OG6120819_383::h
OG6102627_83::t	OG6102627_84::h
OG6101193_38::h	OG6105319_207::t
OG6105219_204::h	OG6315872_583::t
OG6103915_126::t	OG6104359_164::h
OG6132684_479::h	OG6150947_530::t
OG6122578_394::t	OG6163211_552::h
OG6126424_430::t	OG6162913_543::h
OG6106107_240::h	OG6163098_549::h
OG6104247_158::h	OG6141938_510::t
OG6102617_80::h	OG6104023_138::t
OG6201900_577::t	OG6386219_596::h
OG6103788_122::h	OG6142327_519::h
OG6104063_141::h	OG6150742_526::h
OG6126654_446::t	OG6126654_448::h
OG6108781_319::h	OG6142321_517::h
OG6105968_237::h	OG6142381_520::t
OG6104399_166::h	OG6163097_548::t
OG6162719_542::h	OG6315797_582::t
OG6101414_43::h	OG6103101_101::h
OG6126529_437::t	OG6201900_577::h
OG6104079_143::h	OG6105334_209::h
OG6108587_315::h	OG6316345_593::t
OG6100894_23::t	OG6105507_220::h
OG6105304_206::h	OG6107572_285::t
OG6112323_351::t	OG6120926_385::h
OG6117820_374::h	OG6117820_375::t
OG6102134_68::t	OG6102942_95::h
OG6104480_173::h	OG6107564_284::h
OG6103116_102::h	OG6108781_319::t
OG6104788_188::t	OG6142298_516::h
OG6101347_40::h	OG6106571_258::t
OG6107540_283::h	OG6163200_551::t
OG6136605_493::t	OG6r15109498_599::h
OG6105064_198::t	OG6183943_570::h
OG6101891_61::h	OG6104562_179::t
OG6106561_256::h	OG6315421_579::t
OG6100986_30::h	OG6126460_433::t
OG6100731_20::h	OG6107190_273::h
OG6141943_512::t	OG6163597_557::h
OG6101502_49::t	OG6151102_533::h
OG6103034_99::h	OG6162964_544::h
OG6100338_5::t	OG6107907_294::h
OG6107572_285::h	OG6107716_286::t
OG6101257_39::t	OG6103915_126::h
OG6129298_465::t	OG6150947_530::h
OG6104188_152::h	OG6129350_466::t
OG6142078_513::h	OG6150892_528::t
OG6103965_128::t	OG6107078_271::h
OG6102852_92::h	OG6136375_485::t
OG6100782_21::h	OG6109213_325::h
OG6142255_514::h	OG6r15109498_599::t
OG6104715_185::t	OG6105165_201::h
OG6124464_420::t	OG6126301_425::h
OG6104177_150::h	OG6106364_248::h
OG6113327_359::h	OG6129057_457::h
OG6105199_203::h	OG6163098_549::t
OG6101672_55::t	OG6105648_227::h
OG6129046_456::t	OG6142325_518::h
OG6103806_123::h	OG6110753_342::t
OG6104643_184::h	OG6107399_277::h
OG6132655_474::t	OG6132655_475::h
OG6104979_194::t	OG6114783_364::h
OG6112849_357::h	OG6116553_366::h
OG6102133_67::h	OG6315872_583::h
OG6105219_204::t	OG6132683_478::h
OG6105891_236::h	OG6111122_346::h
OG6124179_404::t	OG6187221_576::h
OG6103652_119::t	OG6124450_418::h
OG6100592_13::h	OG6122504_389::t
OG6101571_50::h	OG6111122_346::t
OG6101673_56::h	OG6109213_325::t
OG6106132_242::h	OG6151124_534::h
OG6114034_362::h	OG6129065_458::h
OG6126424_430::h	OG6142273_515::t
OG6106235_243::h	OG6109176_322::t
OG6101431_45::h	OG6132280_469::h
OG6103992_132::t	OG6136375_485::h
OG6105971_238::h	OG6142421_521::h
OG6104448_170::t	OG6316440_595::h
OG6100957_29::t	OG6128985_453::h
OG6104609_180::h	OG6107366_275::t
OG6124185_405::h	OG6166633_563::t
OG6107516_280::h	OG6108295_309::t
OG6132280_469::t	OG6141913_509::h
OG6106917_266::t	OG6136756_500::h
OG6102384_73::t	OG6150740_525::h
OG6162667_541::h	OG6r15109501_600::t
OG6106237_244::h	OG6137882_506::t
OG6122559_392::t	OG6316286_588::h
OG6151341_539::h	OG6315972_587::h
OG6142484_523::h	OG6162974_545::t
OG6107098_272::h	OG6113402_360::t
OG6103986_131::t	OG6176107_564::h
OG6103257_105::h	OG6107764_292::t
OG6101938_63::h	OG6104136_147::t
OG6104609_182::t	OG6104609_183::h
OG6103982_129::t	OG6104772_187::h
OG6105739_231::t	OG6106476_254::h
OG6102674_87::t	OG6106460_251::h
OG6103999_134::t	OG6126605_443::t
OG6109233_327::t	OG6113327_359::t
OG6102235_69::t	OG6126301_425::t
OG6128919_451::t	OG6184039_572::t
OG6106561_257::t	OG6109443_331::t
OG6106474_253::t	OG6126602_441::t
OG6107032_269::t	OG6109920_338::t
OG6107078_271::t	OG6130015_468::t
OG6107742_290::t	OG6110740_341::t
OG6126445_432::t	OG6129118_459::t
OG6120817_382::t	OG6183989_571::t
OG6100651_16::t	OG6104329_163::t
OG6103480_114::t	OG6124339_412::t
OG6100923_28::t	OG6105715_230::t
OG6101045_33::t	OG6112259_350::t
OG6109207_324::t	OG6113954_361::t
OG6100220_3::t	OG6106364_248::t
OG6109243_328::t	OG6163440_554::t
OG6124468_421::t	OG6153341_540::t
OG6101347_41::t	OG6108692_317::t
OG6111120_345::t	OG6141913_509::t
OG6101456_47::t	OG6105380_215::t
OG6106710_262::t	OG6107420_279::t
OG6104071_142::t	OG6108140_306::t
OG6105431_217::t	OG6117865_377::t
OG6129238_462::t	OG6151144_535::t
OG6103358_109::t	OG6103358_110::t
OG6104609_181::t	OG6315972_587::t
OG6102890_94::t	OG6124301_408::t
OG6103377_111::t	OG6107758_291::t
OG6101596_51::t	OG6105557_224::t
OG6103877_125::t	OG6109177_323::t
OG6100528_12::t	OG6108764_318::t
OG6126618_444::t	OG6132482_471::t
OG6101604_53::t	OG6136417_486::t
OG6101432_46::t	OG6126439_431::t
OG6108971_320::t	OG6117846_376::t
OG6105533_223::t	OG6141871_508::t
OG6104879_191::t	OG6107914_295::t
OG6107955_299::t	OG6108569_312::t
OG6104527_176::t	OG6109618_333::t
OG6104093_144::t	OG6106616_261::t
OG6132657_477::t	OG6136695_496::t
OG6104182_151::t	OG6106107_240::t
OG6100998_31::t	OG6132723_483::t
OG6105713_228::t	OG6162964_544::t
OG6101944_64::t	OG6105891_236::t
OG6103955_127::t	OG6122646_399::t
OG6106460_251::t	OG6108499_311::t
OG6104017_136::t	OG6106476_254::t
OG6163646_558::t	OG6315967_586::t
OG6101193_38::t	OG6101731_58::t
OG6102627_84::t	OG6151237_537::t
OG6102624_82::t	OG6106940_267::t
OG6104541_178::t	OG6106541_255::t
OG6126300_424::t	OG6202131_578::t
OG6105629_226::t	OG6107046_270::t
OG6105053_197::t	OG6107930_297::t
OG6103997_133::t	OG6104189_153::t
OG6103806_123::t	OG6183306_565::t
OG6101919_62::t	OG6124322_409::t
OG6101603_52::t	OG6102422_75::t
OG6107190_273::t	OG6163540_556::t
OG6107098_272::t	OG6124421_414::t
OG6102656_86::t	OG6105759_232::t
OG6103618_118::t	OG6151074_532::t
OG6117926_378::t	OG6184055_573::t
OG6100653_17::t	OG6101684_57::t
OG6106435_250::t	OG6138134_507::t
OG6101891_61::t	OG6107727_287::t
OG6102882_93::t	OG6104190_154::t
OG6105324_208::t	OG6386219_596::t
OG6104030_139::t	OG6105774_233::t
OG6108101_304::t	OG6109712_336::t
OG6103116_102::t	OG6106124_241::t
OG6102503_78::t	OG6104507_174::t
OG6100515_10::t	OG6136744_498::t
OG6132724_484::t	OG6315947_585::t
OG6105997_239::t	OG6122583_396::t
OG6101047_34::t	OG6104212_155::t
OG6109902_337::t	OG6122518_390::t
OG6103099_100::t	OG6163447_555::t
OG6101143_35::t	OG6102133_67::t
OG6150740_525::t	OG6316299_589::t
OG6108363_310::t	OG6116618_369::t
OG6136555_491::t	OG6151243_538::t
OG6105527_222::t	OG6183943_570::t
OG6103812_124::t	OG6316334_592::t
OG6104147_149::t	OG6108144_307::t
OG6102242_70::t	OG6106240_245::t
OG6124423_415::t	OG6186989_574::t
OG6107740_289::t	OG6163079_547::t
OG6116556_368::t	OG6163044_546::t
OG6130014_467::t	OG6316406_594::t
OG6105648_227::t	OG6110776_343::t
OG6101497_48::t	OG6136811_504::t
OG6100896_26::t	OG6101414_43::t
OG6101156_36::t	OG6101413_42::t
OG6111483_347::t	OG6136756_500::t
OG6126313_426::t	OG6126664_449::t
OG6104802_189::t	OG6136764_501::t
OG6105363_213::t	OG6129233_461::t
OG6107978_302::t	OG6316316_590::t
OG6102986_97::t	OG6103788_122::t
OG6105083_199::t	OG6110471_340::t
OG6102303_71::t	OG6124383_413::t
OG6104310_162::t	OG6132683_478::t
OG6106420_249::t	OG6107391_276::t
OG6111930_349::t	OG6119325_380::t
OG6100674_18::t	OG6105354_211::t
OG6103101_101::t	OG6105117_200::t
OG6105165_201::t	OG6116556_367::t
OG6100878_22::t	OG6103166_103::t
OG6100524_11::t	OG6105304_206::t
OG6102385_74::t	OG6126551_438::t
OG6101766_60::t	OG6108574_313::t
OG6117755_371::t	OG6122523_391::t
OG6105044_196::t	OG6142078_513::t
OG6104013_135::t	OG6136765_502::t
OG6132639_473::t	OG6163597_557::t
OG6100592_13::t	OG6108096_303::t
OG6101571_50::t	OG6129193_460::t
OG6102557_79::t	OG6106586_259::t
OG6102059_66::t	OG6102427_77::t
OG6105040_195::t	OG6107516_280::t
OG6126471_434::t	OG6136702_497::t
OG6126375_427::t	OG6129065_458::t
OG6100896_25::t	OG6104063_141::t
OG6105713_229::t	OG6315700_581::t
OG6104177_150::t	OG6106875_264::t
OG6105362_212::t	OG6114783_364::t
OG6106472_252::t	OG6120819_383::t
OG6100731_20::t	OG6117934_379::t
OG6104478_172::t	OG6142484_523::t
OG6117820_374::t	OG6136806_503::t
OG6132684_479::t	OG6183605_567::t
OG6104247_158::t	OG6104247_159::t
OG6102617_80::t	OG6106237_244::t
OG6102999_98::t	OG6163186_550::t
OG6101431_45::t	OG6105507_220::t
OG6102655_85::t	OG6122624_397::t
OG6120926_384::t	OG6120926_385::t
OG6124431_416::t	OG6142298_516::t
OG6100391_6::t	OG6101673_56::t
OG6104772_187::t	OG6107907_294::t
OG6104188_152::t	OG6150742_526::t
OG6102852_92::t	OG6128985_453::t
OG6105199_203::t	OG6105971_238::t
OG6107806_293::t	OG6124450_418::t
OG6114034_362::t	OG6r15102977_598::t
OG6104098_145::t	OG6104434_169::t
