# Species	Genes	Alg.-Conn.	AnophelesalbimanusSTECLA.faa	AnophelesaquasalisidAnoAquaMGQ19.faa	AnophelesatroparvusEBRO.faa	AnophelescruziiidAnoCruzASRS3206.faa	AnophelesfunestusFUMOZ.faa	AnophelesgambiaePEST.faa	AnophelesmouchetiidAnoMoucSNF2007.faa
7	16	0.102	AnophelesalbimanusSTECLA|AALB001306	AnophelesaquasalisidAnoAquaMGQ19|AAQUA003071,AnophelesaquasalisidAnoAquaMGQ19|AAQUA000469,AnophelesaquasalisidAnoAquaMGQ19|AAQUA009445	AnophelesatroparvusEBRO|AATE019249,AnophelesatroparvusEBRO|AATE017505	AnophelescruziiidAnoCruzASRS3206|AcruBR1000000041,AnophelescruziiidAnoCruzASRS3206|AcruBR1000008170	AnophelesfunestusFUMOZ|AFUN016455,AnophelesfunestusFUMOZ|AFUN016458,AnophelesfunestusFUMOZ|AFUN016454	AnophelesgambiaePEST|AGAP008283,AnophelesgambiaePEST|AGAP008280,AnophelesgambiaePEST|AGAP008282	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007509,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003135
7	15	0.145	AnophelesalbimanusSTECLA|AALB000610	AnophelesaquasalisidAnoAquaMGQ19|AAQUA002310,AnophelesaquasalisidAnoAquaMGQ19|AAQUA001512,AnophelesaquasalisidAnoAquaMGQ19|AAQUA001884	AnophelesatroparvusEBRO|AATE001722,AnophelesatroparvusEBRO|AATE017678	AnophelescruziiidAnoCruzASRS3206|AcruBR1000001210	AnophelesfunestusFUMOZ|AFUN021960,AnophelesfunestusFUMOZ|AFUN008921,AnophelesfunestusFUMOZ|AFUN012023	AnophelesgambiaePEST|AGAP028057,AnophelesgambiaePEST|AGAP028151,AnophelesgambiaePEST|AGAP008458	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1008108,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1009224
7	15	0.132	AnophelesalbimanusSTECLA|AALB017676	AnophelesaquasalisidAnoAquaMGQ19|AAQUA011168	AnophelesatroparvusEBRO|AATE019379,AnophelesatroparvusEBRO|AATE014422	AnophelescruziiidAnoCruzASRS3206|AcruBR1000006692	AnophelesfunestusFUMOZ|AFUN021727,AnophelesfunestusFUMOZ|AFUN021728,AnophelesfunestusFUMOZ|AFUN021726,AnophelesfunestusFUMOZ|AFUN021724	AnophelesgambiaePEST|AGAP010730,AnophelesgambiaePEST|AGAP010731	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002090,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1012654,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1001445,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1004393
7	15	0.115	AnophelesalbimanusSTECLA|AALB017688,AnophelesalbimanusSTECLA|AALB017687	AnophelesaquasalisidAnoAquaMGQ19|AAQUA010353	AnophelesatroparvusEBRO|AATE006389,AnophelesatroparvusEBRO|AATE002110	AnophelescruziiidAnoCruzASRS3206|AcruBR1000009768,AnophelescruziiidAnoCruzASRS3206|AcruBR1000002603	AnophelesfunestusFUMOZ|AFUN021270,AnophelesfunestusFUMOZ|AFUN018629,AnophelesfunestusFUMOZ|AFUN018948,AnophelesfunestusFUMOZ|AFUN021271	AnophelesgambiaePEST|AGAP012176,AnophelesgambiaePEST|AGAP012178	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1010021,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1012410
7	15	0.102	AnophelesalbimanusSTECLA|AALB003247	AnophelesaquasalisidAnoAquaMGQ19|AAQUA000216,AnophelesaquasalisidAnoAquaMGQ19|AAQUA012282	AnophelesatroparvusEBRO|AATE021707,AnophelesatroparvusEBRO|AATE009283,AnophelesatroparvusEBRO|AATE014483	AnophelescruziiidAnoCruzASRS3206|AcruBR1000009049,AnophelescruziiidAnoCruzASRS3206|AcruBR1000001675	AnophelesfunestusFUMOZ|AFUN006671,AnophelesfunestusFUMOZ|AFUN015853,AnophelesfunestusFUMOZ|AFUN015854	AnophelesgambiaePEST|AGAP006258,AnophelesgambiaePEST|AGAP004981	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1004179,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007692
7	15	0.101	AnophelesalbimanusSTECLA|AALB010320	AnophelesaquasalisidAnoAquaMGQ19|AAQUA005467,AnophelesaquasalisidAnoAquaMGQ19|AAQUA004854	AnophelesatroparvusEBRO|AATE007928,AnophelesatroparvusEBRO|AATE007180	AnophelescruziiidAnoCruzASRS3206|AcruBR1000003485,AnophelescruziiidAnoCruzASRS3206|AcruBR1000010256	AnophelesfunestusFUMOZ|AFUN018938,AnophelesfunestusFUMOZ|AFUN021125,AnophelesfunestusFUMOZ|AFUN019079	AnophelesgambiaePEST|AGAP029753,AnophelesgambiaePEST|AGAP029267	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1006684,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1010296,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1012576
7	14	0.671	AnophelesalbimanusSTECLA|AALB004007,AnophelesalbimanusSTECLA|AALB004562	AnophelesaquasalisidAnoAquaMGQ19|AAQUA006329,AnophelesaquasalisidAnoAquaMGQ19|AAQUA004601,AnophelesaquasalisidAnoAquaMGQ19|AAQUA000346	AnophelesatroparvusEBRO|AATE008647	AnophelescruziiidAnoCruzASRS3206|AcruBR1000004919	AnophelesfunestusFUMOZ|AFUN006955	AnophelesgambiaePEST|AGAP005023,AnophelesgambiaePEST|AGAP005026,AnophelesgambiaePEST|AGAP003909,AnophelesgambiaePEST|AGAP010724	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000789,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1006705
7	14	0.429	AnophelesalbimanusSTECLA|AALB004603,AnophelesalbimanusSTECLA|AALB004601	AnophelesaquasalisidAnoAquaMGQ19|AAQUA003592,AnophelesaquasalisidAnoAquaMGQ19|AAQUA004706	AnophelesatroparvusEBRO|AATE021755,AnophelesatroparvusEBRO|AATE012310	AnophelescruziiidAnoCruzASRS3206|AcruBR1000007387,AnophelescruziiidAnoCruzASRS3206|AcruBR1000001516	AnophelesfunestusFUMOZ|AFUN009015,AnophelesfunestusFUMOZ|AFUN009014	AnophelesgambiaePEST|AGAP005602,AnophelesgambiaePEST|AGAP005603	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1004083,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002087
7	14	0.214	AnophelesalbimanusSTECLA|AALB004699	AnophelesaquasalisidAnoAquaMGQ19|AAQUA011452,AnophelesaquasalisidAnoAquaMGQ19|AAQUA004046	AnophelesatroparvusEBRO|AATE014990,AnophelesatroparvusEBRO|AATE017387	AnophelescruziiidAnoCruzASRS3206|AcruBR1000000985,AnophelescruziiidAnoCruzASRS3206|AcruBR1000009986,AnophelescruziiidAnoCruzASRS3206|AcruBR1000003477	AnophelesfunestusFUMOZ|AFUN006446,AnophelesfunestusFUMOZ|AFUN019083,AnophelesfunestusFUMOZ|AFUN019847	AnophelesgambiaePEST|AGAP006958	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1002360,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000640
7	14	0.139	AnophelesalbimanusSTECLA|AALB010527,AnophelesalbimanusSTECLA|AALB010540	AnophelesaquasalisidAnoAquaMGQ19|AAQUA002585,AnophelesaquasalisidAnoAquaMGQ19|AAQUA002787	AnophelesatroparvusEBRO|AATE020494,AnophelesatroparvusEBRO|AATE016025	AnophelescruziiidAnoCruzASRS3206|AcruBR1000002402	AnophelesfunestusFUMOZ|AFUN021989,AnophelesfunestusFUMOZ|AFUN019122,AnophelesfunestusFUMOZ|AFUN007232	AnophelesgambiaePEST|AGAP010675,AnophelesgambiaePEST|AGAP005744	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1000437,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003740
7	14	0.138	AnophelesalbimanusSTECLA|AALB017802,AnophelesalbimanusSTECLA|AALB005979	AnophelesaquasalisidAnoAquaMGQ19|AAQUA006000,AnophelesaquasalisidAnoAquaMGQ19|AAQUA012047	AnophelesatroparvusEBRO|AATE015027,AnophelesatroparvusEBRO|AATE002158	AnophelescruziiidAnoCruzASRS3206|AcruBR1000007773,AnophelescruziiidAnoCruzASRS3206|AcruBR1000012146	AnophelesfunestusFUMOZ|AFUN002426,AnophelesfunestusFUMOZ|AFUN002084	AnophelesgambiaePEST|AGAP007406,AnophelesgambiaePEST|AGAP003541	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005364,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003280
7	14	0.115	AnophelesalbimanusSTECLA|AALB000715,AnophelesalbimanusSTECLA|AALB000714	AnophelesaquasalisidAnoAquaMGQ19|AAQUA003104	AnophelesatroparvusEBRO|AATE021166,AnophelesatroparvusEBRO|AATE017217	AnophelescruziiidAnoCruzASRS3206|AcruBR1000012332	AnophelesfunestusFUMOZ|AFUN003827,AnophelesfunestusFUMOZ|AFUN019463,AnophelesfunestusFUMOZ|AFUN019680,AnophelesfunestusFUMOZ|AFUN021369	AnophelesgambiaePEST|AGAP008510,AnophelesgambiaePEST|AGAP028084	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1004842,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1012714
7	14	0.111	AnophelesalbimanusSTECLA|AALB001022,AnophelesalbimanusSTECLA|AALB001021	AnophelesaquasalisidAnoAquaMGQ19|AAQUA012853,AnophelesaquasalisidAnoAquaMGQ19|AAQUA003397	AnophelesatroparvusEBRO|AATE005802,AnophelesatroparvusEBRO|AATE001840	AnophelescruziiidAnoCruzASRS3206|AcruBR1000009170,AnophelescruziiidAnoCruzASRS3206|AcruBR1000006126	AnophelesfunestusFUMOZ|AFUN006123,AnophelesfunestusFUMOZ|AFUN006136	AnophelesgambiaePEST|AGAP009245,AnophelesgambiaePEST|AGAP009242	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1008157,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003282
7	14	0.107	AnophelesalbimanusSTECLA|AALB004394	AnophelesaquasalisidAnoAquaMGQ19|AAQUA000924,AnophelesaquasalisidAnoAquaMGQ19|AAQUA005838	AnophelesatroparvusEBRO|AATE006942,AnophelesatroparvusEBRO|AATE016789	AnophelescruziiidAnoCruzASRS3206|AcruBR1000003968,AnophelescruziiidAnoCruzASRS3206|AcruBR1000006496,AnophelescruziiidAnoCruzASRS3206|AcruBR1000001496	AnophelesfunestusFUMOZ|AFUN018878,AnophelesfunestusFUMOZ|AFUN018831	AnophelesgambiaePEST|AGAP006906,AnophelesgambiaePEST|AGAP006907	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1011144,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1012674
7	14	0.102	AnophelesalbimanusSTECLA|AALB007883,AnophelesalbimanusSTECLA|AALB000257	AnophelesaquasalisidAnoAquaMGQ19|AAQUA005934,AnophelesaquasalisidAnoAquaMGQ19|AAQUA011113	AnophelesatroparvusEBRO|AATE000430,AnophelesatroparvusEBRO|AATE012991	AnophelescruziiidAnoCruzASRS3206|AcruBR1000003420	AnophelesfunestusFUMOZ|AFUN003125,AnophelesfunestusFUMOZ|AFUN003126,AnophelesfunestusFUMOZ|AFUN006126	AnophelesgambiaePEST|AGAP028196,AnophelesgambiaePEST|AGAP010241	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1013330,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003738
7	14	0.1	AnophelesalbimanusSTECLA|AALB005934	AnophelesaquasalisidAnoAquaMGQ19|AAQUA002442,AnophelesaquasalisidAnoAquaMGQ19|AAQUA002033	AnophelesatroparvusEBRO|AATE012053	AnophelescruziiidAnoCruzASRS3206|AcruBR1000003657,AnophelescruziiidAnoCruzASRS3206|AcruBR1000007574	AnophelesfunestusFUMOZ|AFUN020723,AnophelesfunestusFUMOZ|AFUN020730,AnophelesfunestusFUMOZ|AFUN022075	AnophelesgambiaePEST|AGAP007074,AnophelesgambiaePEST|AGAP005146,AnophelesgambiaePEST|AGAP007070	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1013348,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1013514
7	13	0.385	AnophelesalbimanusSTECLA|AALB006074	AnophelesaquasalisidAnoAquaMGQ19|AAQUA000904,AnophelesaquasalisidAnoAquaMGQ19|AAQUA002174	AnophelesatroparvusEBRO|AATE017918,AnophelesatroparvusEBRO|AATE020213	AnophelescruziiidAnoCruzASRS3206|AcruBR1000006750,AnophelescruziiidAnoCruzASRS3206|AcruBR1000009653	AnophelesfunestusFUMOZ|AFUN008445,AnophelesfunestusFUMOZ|AFUN008444	AnophelesgambiaePEST|AGAP005453,AnophelesgambiaePEST|AGAP005454	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003386,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007599
7	13	0.227	AnophelesalbimanusSTECLA|AALB010020,AnophelesalbimanusSTECLA|AALB010019	AnophelesaquasalisidAnoAquaMGQ19|AAQUA009686,AnophelesaquasalisidAnoAquaMGQ19|AAQUA012686	AnophelesatroparvusEBRO|AATE014567	AnophelescruziiidAnoCruzASRS3206|AcruBR1000011975	AnophelesfunestusFUMOZ|AFUN009351,AnophelesfunestusFUMOZ|AFUN019130,AnophelesfunestusFUMOZ|AFUN003193	AnophelesgambiaePEST|AGAP012106,AnophelesgambiaePEST|AGAP029205	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1006571,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1004339
7	13	0.138	AnophelesalbimanusSTECLA|AALB010596	AnophelesaquasalisidAnoAquaMGQ19|AAQUA007995	AnophelesatroparvusEBRO|AATE007803	AnophelescruziiidAnoCruzASRS3206|AcruBR1000001602,AnophelescruziiidAnoCruzASRS3206|AcruBR1000001862	AnophelesfunestusFUMOZ|AFUN009724,AnophelesfunestusFUMOZ|AFUN000258	AnophelesgambiaePEST|AGAP000253,AnophelesgambiaePEST|AGAP007266,AnophelesgambiaePEST|AGAP007255	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1006393,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1001903,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1001126
7	13	0.127	AnophelesalbimanusSTECLA|AALB004669	AnophelesaquasalisidAnoAquaMGQ19|AAQUA007741,AnophelesaquasalisidAnoAquaMGQ19|AAQUA001213	AnophelesatroparvusEBRO|AATE012846,AnophelesatroparvusEBRO|AATE000458	AnophelescruziiidAnoCruzASRS3206|AcruBR1000003664	AnophelesfunestusFUMOZ|AFUN019845	AnophelesgambiaePEST|AGAP006222,AnophelesgambiaePEST|AGAP006223,AnophelesgambiaePEST|AGAP007029	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007999,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1011422,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1003519
7	13	0.123	AnophelesalbimanusSTECLA|AALB010816	AnophelesaquasalisidAnoAquaMGQ19|AAQUA011029,AnophelesaquasalisidAnoAquaMGQ19|AAQUA005590	AnophelesatroparvusEBRO|AATE018171,AnophelesatroparvusEBRO|AATE006095	AnophelescruziiidAnoCruzASRS3206|AcruBR1000009078,AnophelescruziiidAnoCruzASRS3206|AcruBR1000012211	AnophelesfunestusFUMOZ|AFUN004150,AnophelesfunestusFUMOZ|AFUN022119	AnophelesgambiaePEST|AGAP011066,AnophelesgambiaePEST|AGAP011068,AnophelesgambiaePEST|AGAP011051	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005210
7	13	0.121	AnophelesalbimanusSTECLA|AALB006077	AnophelesaquasalisidAnoAquaMGQ19|AAQUA000022,AnophelesaquasalisidAnoAquaMGQ19|AAQUA012522	AnophelesatroparvusEBRO|AATE005295,AnophelesatroparvusEBRO|AATE006178	AnophelescruziiidAnoCruzASRS3206|AcruBR1000007895	AnophelesfunestusFUMOZ|AFUN008441,AnophelesfunestusFUMOZ|AFUN021441	AnophelesgambiaePEST|AGAP007140,AnophelesgambiaePEST|AGAP005457,AnophelesgambiaePEST|AGAP005458	AnophelesmouchetiidAnoMoucSNF2007|AmouCM1007456,AnophelesmouchetiidAnoMoucSNF2007|AmouCM1005891
